Date,2014/5/2 10:2
Script,FracBack_OSX
Version,EDC042514
RealTime,Block,Miniblock,Trial,TrialType,Cue,IsMatch,KeyPressed,ACC,RT,CueDuration,ITIDuration,AbsOnset,MiniBlockOnset,CueOnset,ITIOnset
02-May-2014 10:02:27,1,1,1,0,K,FALSE,7&,1,0.97709,0.48412,1.4975,14980.3742,14982.4044,14985.3926,14985.8767
02-May-2014 10:02:29,1,1,2,0,J,FALSE,7&,1,0.7338,0.48411,1.4942,14980.3742,14982.4044,14987.3959,14987.88
02-May-2014 10:02:31,1,1,3,0,X,TRUE,6^,1,0.63452,0.46744,1.5076,14980.3742,14982.4044,14989.3992,14989.8666
02-May-2014 10:02:33,1,1,4,0,G,FALSE,7&,1,0.48723,0.46743,1.5043,14980.3742,14982.4044,14991.4025,14991.8699
02-May-2014 10:02:35,1,1,5,0,X,TRUE,6^,1,0.49193,0.46743,1.501,14980.3742,14982.4044,14993.4058,14993.8732
02-May-2014 10:02:37,1,1,6,0,R,FALSE,7&,1,0.52132,0.48413,1.4977,14980.3742,14982.4044,14995.3924,14995.8765
02-May-2014 10:02:39,1,1,7,0,S,FALSE,6^,0,0.50996,0.48413,1.4944,14980.3742,14982.4044,14997.3957,14997.8798
02-May-2014 10:02:41,1,1,8,0,X,TRUE,6^,1,0.57076,0.48412,1.4911,14980.3742,14982.4044,14999.399,14999.8831
02-May-2014 10:02:43,1,1,9,0,M,FALSE,7&,1,0.47147,0.46742,1.5045,14980.3742,14982.4044,15001.4023,15001.8697
02-May-2014 10:02:45,1,1,10,0,N,FALSE,7&,1,0.56419,0.46743,1.5012,14980.3742,14982.4044,15003.4055,15003.873
02-May-2014 10:02:47,1,1,11,0,L,FALSE,7&,1,0.64152,0.48414,1.4979,14980.3742,14982.4044,15005.3921,15005.8763
02-May-2014 10:02:49,1,1,12,0,X,TRUE,6^,1,0.51821,0.48414,1.4946,14980.3742,14982.4044,15007.3954,15007.8796
02-May-2014 10:02:51,1,1,13,0,P,FALSE,7&,1,0.523,0.48412,1.4914,14980.3742,14982.4044,15009.3987,15009.8828
02-May-2014 10:02:53,1,1,14,0,X,TRUE,6^,1,0.49564,0.46744,1.5048,14980.3742,14982.4044,15011.402,15011.8694
02-May-2014 10:02:55,1,1,15,0,Q,FALSE,7&,1,0.34032,0.46744,1.5015,14980.3742,14982.4044,15013.4053,15013.8727
02-May-2014 10:03:10,2,1,1,1,S,FALSE,7&,1,0.59608,0.46743,1.5071,15023.2042,15025.2247,15028.2296,15028.6971
02-May-2014 10:03:12,2,1,2,1,Z,FALSE,7&,1,0.41671,0.46744,1.5038,15023.2042,15025.2247,15030.2329,15030.7004
02-May-2014 10:03:14,2,1,3,1,Z,TRUE,6^,1,0.4935,0.46744,1.5005,15023.2042,15025.2247,15032.2362,15032.7037
02-May-2014 10:03:16,2,1,4,1,L,FALSE,7&,1,0.45891,0.48414,1.4972,15023.2042,15025.2247,15034.2228,15034.707
