Date,2014/4/22 17:55
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/22 17:57
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/22 17:58
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
1,1,1,0,K,FALSE,,-1,0,0.50083,1.4776,34345.1043,34350.1259,34350.1259,34350.6267,22  43
1,1,2,0,J,FALSE,,-1,0,0.46742,1.4743,34345.1043,34350.1259,34352.1626,34352.63,22  43
1,1,3,0,X,TRUE,,-1,0,0.50081,1.471,34345.1043,34350.1259,34354.1325,34354.6333,21  43
1,1,4,0,G,FALSE,6^,0,0.32978,0.50082,1.4677,34345.1043,34350.1259,34356.1358,34356.6366,22  42
1,1,5,0,X,TRUE,,-1,0,0.50082,1.4811,34345.1043,34350.1259,34358.1224,34358.6232,21  43
1,1,6,0,R,FALSE,,-1,0,0.50082,1.4778,34345.1043,34350.1259,34360.1257,34360.6265,22  43
1,1,7,0,S,FALSE,7&,1,0.95813,0.50082,1.4745,34345.1043,34350.1259,34362.129,34362.6298,22  41
1,1,8,0,X,TRUE,7&,0,1.156,0.50083,1.4712,34345.1043,34350.1259,34364.1323,34364.6331,21  42
1,1,9,0,M,FALSE,,-1,0,0.50082,1.468,34345.1043,34350.1259,34366.1355,34366.6364,22  43
1,1,10,0,N,FALSE,,-1,0,0.51751,1.4647,34345.1043,34350.1259,34368.1221,34368.6397,22  43
1,1,11,0,L,FALSE,7&,1,1.3321,0.50082,1.4781,34345.1043,34350.1259,34370.1254,34370.6262,22  41
1,1,12,0,X,TRUE,,-1,0,0.50082,1.4748,34345.1043,34350.1259,34372.1287,34372.6295,21  43
1,1,13,0,P,FALSE,7&,1,0.73986,0.50082,1.4715,34345.1043,34350.1259,34374.132,34374.6328,22  41
1,1,14,0,X,TRUE,,-1,0,0.50082,1.4682,34345.1043,34350.1259,34376.1353,34376.6361,21  43
1,1,15,0,Q,FALSE,,-1,0,0.50082,1.4816,34345.1043,34350.1259,34378.1219,34378.6227,22  43
Date,2014/4/22 18:0
Script,FracBack_OSX
Version,v0.1beta
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
1,1,1,0,K,FALSE,6^,0,1.3165,0.50083,1.4713,34471.6559,34476.6838,34476.6838,34477.1846,22  42
1,1,2,0,J,FALSE,6^,0,1.2398,0.50081,1.4681,34471.6559,34476.6838,34478.6871,34479.1879,22  42
1,1,3,0,X,TRUE,7&,0,0.6872,0.51752,1.4648,34471.6559,34476.6838,34480.6737,34481.1912,21  42
1,1,4,0,G,FALSE,6^,0,0.80203,0.50083,1.4782,34471.6559,34476.6838,34482.6769,34483.1778,22  42
1,1,5,0,X,TRUE,6^,1,0.94538,0.50083,1.4749,34471.6559,34476.6838,34484.6802,34485.1811,21  41
1,1,6,0,R,FALSE,7&,1,0.48385,0.50082,1.4716,34471.6559,34476.6838,34486.6835,34487.1844,22  41
1,1,7,0,S,FALSE,7&,1,0.56838,0.50083,1.4683,34471.6559,34476.6838,34488.6868,34489.1876,22  41
1,1,8,0,X,TRUE,6^,1,0.73613,0.51751,1.465,34471.6559,34476.6838,34490.6734,34491.1909,21  41
1,1,9,0,M,FALSE,7&,1,0.48301,0.50083,1.4784,34471.6559,34476.6838,34492.6767,34493.1775,22  41
1,1,10,0,N,FALSE,7&,1,0.63333,0.50083,1.4751,34471.6559,34476.6838,34494.68,34495.1808,22  41
1,1,11,0,L,FALSE,7&,1,0.5476,0.50082,1.4718,34471.6559,34476.6838,34496.6833,34497.1841,22  41
1,1,12,0,X,TRUE,7&,0,0.38707,0.50083,1.4685,34471.6559,34476.6838,34498.6866,34499.1874,21  42
1,1,13,0,P,FALSE,7&,1,0.71748,0.51752,1.4653,34471.6559,34476.6838,34500.6732,34501.1907,22  41
1,1,14,0,X,TRUE,6^,1,0.53848,0.50082,1.4787,34471.6559,34476.6838,34502.6765,34503.1773,21  41
1,1,15,0,Q,FALSE,7&,1,0.50143,0.50082,1.4754,34471.6559,34476.6838,34504.6797,34505.1806,22  41
2,1,1,1,S,FALSE,,-1,0,0.50083,1.4756,34505.1986,34510.2222,34510.2222,34510.723,22  43
2,1,2,1,Z,FALSE,,-1,0,0.50082,1.4723,34505.1986,34510.2222,34512.2255,34512.7263,22  43
2,1,3,1,Z,TRUE,6^,1,0.66651,0.50084,1.469,34505.1986,34510.2222,34514.2288,34514.7296,21  41
2,1,4,1,L,FALSE,7&,1,0.47244,0.50081,1.4825,34505.1986,34510.2222,34516.2154,34516.7162,22  41
2,1,5,1,G,FALSE,6^,0,0.67653,0.50082,1.4792,34505.1986,34510.2222,34518.2187,34518.7195,22  42
2,1,6,1,Q,FALSE,7&,1,0.34581,0.50081,1.4759,34505.1986,34510.2222,34520.2219,34520.7228,22  41
2,1,7,1,Q,TRUE,6^,1,0.39929,0.50083,1.4726,34505.1986,34510.2222,34522.2252,34522.7261,21  41
2,1,8,1,R,FALSE,7&,1,0.97816,0.50081,1.4693,34505.1986,34510.2222,34524.2285,34524.7293,22  41
2,1,9,1,D,FALSE,7&,1,0.68051,0.50083,1.4827,34505.1986,34510.2222,34526.2151,34526.7159,22  41
2,1,10,1,V,FALSE,7&,1,0.66893,0.50081,1.4794,34505.1986,34510.2222,34528.2184,34528.7192,22  41
2,1,11,1,V,TRUE,7&,0,0.46731,0.50083,1.4761,34505.1986,34510.2222,34530.2217,34530.7225,21  42
2,1,12,1,R,FALSE,7&,1,0.36006,0.50081,1.4728,34505.1986,34510.2222,34532.225,34532.7258,22  41
2,1,13,1,R,TRUE,7&,0,0.54688,0.50083,1.4695,34505.1986,34510.2222,34534.2283,34534.7291,21  42
2,1,14,1,H,FALSE,7&,1,0.59448,0.51751,1.4663,34505.1986,34510.2222,34536.2149,34536.7324,22  41
2,1,15,1,H,TRUE,7&,0,0.45509,0.5008,1.4797,34505.1986,34510.2222,34538.2182,34538.719,21  42
3,1,1,2,L,FALSE,,-1,0,0.50082,1.4759,34538.7373,34543.7606,34543.7606,34544.2614,22  43
3,1,2,2,P,FALSE,7&,1,0.58903,0.50081,1.4726,34538.7373,34543.7606,34545.7639,34546.2647,22  41
3,1,3,2,L,TRUE,6^,1,0.64888,0.50083,1.4693,34538.7373,34543.7606,34547.7672,34548.268,21  41
3,1,4,2,H,FALSE,7&,1,0.54977,0.50083,1.4827,34538.7373,34543.7606,34549.7538,34550.2546,22  41
3,1,5,2,G,FALSE,,-1,0,0.50084,1.4794,34538.7373,34543.7606,34551.7571,34552.2579,22  43
3,1,6,2,H,TRUE,6^,1,0.38511,0.50082,1.4761,34538.7373,34543.7606,34553.7604,34554.2612,21  41
3,1,7,2,N,FALSE,7&,1,0.46921,0.50082,1.4728,34538.7373,34543.7606,34555.7637,34556.2645,22  41
3,1,8,2,W,FALSE,7&,1,0.82523,0.50083,1.4695,34538.7373,34543.7606,34557.7669,34558.2678,22  41
3,1,9,2,N,TRUE,6^,1,0.72554,0.51751,1.4663,34538.7373,34543.7606,34559.7535,34560.271,21  41
3,1,10,2,T,FALSE,7&,1,1.1162,0.5008,1.4797,34538.7373,34543.7606,34561.7568,34562.2576,22  41
