Date,2014/4/25 14:1
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
1,1,1,0,K,FALSE,7&,1,0.72171,0.51751,1.465,8679.6769,8684.6944,8684.6944,8685.2119,22  41
1,1,2,0,J,FALSE,7&,1,0.78622,0.50082,1.4784,8679.6769,8684.6944,8686.6977,8687.1985,22  41
1,1,3,0,X,TRUE,6^,1,0.52769,0.50083,1.4751,8679.6769,8684.6944,8688.701,8689.2018,21  41
1,1,4,0,G,FALSE,7&,1,0.4031,0.50081,1.4718,8679.6769,8684.6944,8690.7043,8691.2051,22  41
1,1,5,0,X,TRUE,6^,1,0.57711,0.50084,1.4685,8679.6769,8684.6944,8692.7075,8693.2084,21  41
1,1,6,0,R,FALSE,7&,1,0.48549,0.50083,1.4819,8679.6769,8684.6944,8694.6941,8695.195,22  41
1,1,7,0,S,FALSE,7&,1,0.42642,0.50082,1.4787,8679.6769,8684.6944,8696.6974,8697.1983,22  41
1,1,8,0,X,TRUE,6^,1,0.57131,0.50083,1.4754,8679.6769,8684.6944,8698.7007,8699.2015,21  41
1,1,9,0,M,FALSE,7&,1,0.43552,0.50082,1.4721,8679.6769,8684.6944,8700.704,8701.2048,22  41
1,1,10,0,N,FALSE,7&,1,0.33396,0.50082,1.4688,8679.6769,8684.6944,8702.7073,8703.2081,22  41
1,1,11,0,L,FALSE,7&,1,0.35735,0.50082,1.4822,8679.6769,8684.6944,8704.6939,8705.1947,22  41
1,1,12,0,X,TRUE,6^,1,0.44664,0.50082,1.4789,8679.6769,8684.6944,8706.6972,8707.198,21  41
1,1,13,0,P,FALSE,7&,1,0.4194,0.50083,1.4756,8679.6769,8684.6944,8708.7005,8709.2013,22  41
1,1,14,0,X,TRUE,6^,1,0.52338,0.50082,1.4723,8679.6769,8684.6944,8710.7038,8711.2046,21  41
1,1,15,0,Q,FALSE,7&,1,0.4812,0.50084,1.469,8679.6769,8684.6944,8712.707,8713.2079,22  41
2,1,1,1,S,FALSE,7&,1,0.44929,0.50081,1.4804,8717.304,8722.3229,8722.3229,8722.8237,22  41
