Date,2014/5/27 17:5
Script,FracBack_OSX
Version,EDC052714
RealTime,Block,Miniblock,Trial,TrialType,Cue,IsMatch,KeyPressed,ACC,RT,CueDuration,ITIDuration,AbsOnset,MiniBlockOnset,CueOnset,ITIOnset
27-May-2014 17:05:54,2,1,1,2,H,FALSE,2@,1,0.38288,0.48333,1.4937,84386.7476,84395.7706,84398.7706,84399.2539
27-May-2014 17:05:56,2,1,2,2,L,FALSE,2@,1,0.41889,0.48333,1.4937,84386.7476,84395.7706,84400.7706,84401.2539
27-May-2014 17:05:58,2,1,3,2,P,FALSE,2@,1,0.39697,0.48333,1.4937,84386.7476,84395.7706,84402.7706,84403.2539
27-May-2014 17:06:00,2,1,4,2,D,FALSE,2@,1,0.52187,0.48334,1.4937,84386.7476,84395.7706,84404.7706,84405.2539
27-May-2014 17:06:02,2,1,5,2,P,TRUE,1!,1,0.38997,0.48333,1.4937,84386.7476,84395.7706,84406.7706,84407.2539
27-May-2014 17:06:04,2,1,6,2,D,TRUE,2@,0,0.40796,0.48332,1.4937,84386.7476,84395.7706,84408.7706,84409.2539
27-May-2014 17:06:06,2,1,7,2,K,FALSE,2@,1,0.49995,0.48334,1.4937,84386.7476,84395.7706,84410.7706,84411.2539
27-May-2014 17:06:08,2,1,8,2,S,FALSE,2@,1,0.36215,0.48333,1.4937,84386.7476,84395.7706,84412.7706,84413.2539
27-May-2014 17:06:10,2,1,9,2,K,TRUE,1!,1,0.28987,0.48333,1.4937,84386.7476,84395.7706,84414.7706,84415.2539
27-May-2014 17:06:12,2,1,10,2,Q,FALSE,2@,1,0.50189,0.48334,1.4937,84386.7476,84395.7706,84416.7706,84417.2539
27-May-2014 17:06:14,2,1,11,2,F,FALSE,2@,1,0.44191,0.48333,1.4937,84386.7476,84395.7706,84418.7706,84419.2539
27-May-2014 17:06:16,2,1,12,2,Q,TRUE,1!,1,0.36897,0.48333,1.4937,84386.7476,84395.7706,84420.7706,84421.2539
27-May-2014 17:06:18,2,1,13,2,F,TRUE,2@,0,0.34796,0.48333,1.4937,84386.7476,84395.7706,84422.7706,84423.2539
27-May-2014 17:06:20,2,1,14,2,S,FALSE,2@,1,0.36098,0.48333,1.4937,84386.7476,84395.7706,84424.7706,84425.2539
27-May-2014 17:06:22,2,1,15,2,W,FALSE,2@,1,0.39296,0.48332,1.4937,84386.7476,84395.7706,84426.7706,84427.2539
27-May-2014 17:06:27,2,2,1,1,T,FALSE,2@,1,0.57194,0.48333,1.4937,84386.7476,84428.7706,84431.7706,84432.2539
27-May-2014 17:06:29,2,2,2,1,T,TRUE,2@,0,0.36386,0.48332,1.4937,84386.7476,84428.7706,84433.7706,84434.2539
27-May-2014 17:06:31,2,2,3,1,H,FALSE,2@,1,0.36391,0.48333,1.4937,84386.7476,84428.7706,84435.7706,84436.2539
27-May-2014 17:06:33,2,2,4,1,C,FALSE,2@,1,0.32396,0.48333,1.4937,84386.7476,84428.7706,84437.7706,84438.2539
27-May-2014 17:06:35,2,2,5,1,M,FALSE,2@,1,0.4759,0.48334,1.4937,84386.7476,84428.7706,84439.7706,84440.2539
27-May-2014 17:06:37,2,2,6,1,M,TRUE,1!,1,0.32389,0.48334,1.4937,84386.7476,84428.7706,84441.7706,84442.2539
27-May-2014 17:06:39,2,2,7,1,N,FALSE,2@,1,0.3479,0.48334,1.4937,84386.7476,84428.7706,84443.7706,84444.2539
27-May-2014 17:06:41,2,2,8,1,Z,FALSE,2@,1,0.34097,0.48333,1.4937,84386.7476,84428.7706,84445.7706,84446.2539
27-May-2014 17:06:43,2,2,9,1,Z,TRUE,2@,0,0.3479,0.48334,1.4937,84386.7476,84428.7706,84447.7706,84448.2539
27-May-2014 17:06:45,2,2,10,1,R,FALSE,2@,1,0.32592,0.48333,1.4937,84386.7476,84428.7706,84449.7706,84450.2539
27-May-2014 17:06:47,2,2,11,1,R,TRUE,1!,1,0.51888,0.48334,1.4937,84386.7476,84428.7706,84451.7706,84452.2539
27-May-2014 17:06:49,2,2,12,1,W,FALSE,2@,1,0.32687,0.48334,1.4937,84386.7476,84428.7706,84453.7706,84454.2539
27-May-2014 17:06:51,2,2,13,1,V,FALSE,2@,1,0.30797,0.48334,1.4937,84386.7476,84428.7706,84455.7706,84456.2539
27-May-2014 17:06:53,2,2,14,1,S,FALSE,2@,1,0.32497,0.48332,1.4937,84386.7476,84428.7706,84457.7706,84458.2539
27-May-2014 17:06:55,2,2,15,1,S,TRUE,1!,1,0.46897,0.48333,1.4937,84386.7476,84428.7706,84459.7706,84460.2539
27-May-2014 17:07:00,2,3,1,0,G,FALSE,2@,1,0.54696,0.48333,1.4937,84386.7476,84461.7706,84464.7706,84465.2539
27-May-2014 17:07:02,2,3,2,0,X,TRUE,2@,0,0.32596,0.48333,1.4937,84386.7476,84461.7706,84466.7706,84467.2539
27-May-2014 17:07:04,2,3,3,0,C,FALSE,2@,1,0.33088,0.48334,1.4937,84386.7476,84461.7706,84468.7706,84469.2539
27-May-2014 17:07:06,2,3,4,0,X,TRUE,1!,1,0.43488,0.48332,1.4937,84386.7476,84461.7706,84470.7706,84471.2539
