Date,2014/4/25 15:20
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:24
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:25
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
Date,2014/4/25 15:35
Script,FracBack_OSX
Version,EDC042314
Block,Miniblock,Trial,Type,Cue,IsMatch,KeyPressed,Acc,Rt_us,CueDuration_us,ITIDuration_us,BlockOnset_us,MiniBlockOnset_us,CueOnset_us,ITIOnset_us,EventCodeSequence
1,1,1,0,V,FALSE,2@,1,1.309,0.50001,1.4751,508.9095,520.9344,520.9344,521.4344,22  41
1,1,2,0,X,TRUE,1!,1,0.73488,0.50001,1.4751,508.9095,520.9344,522.9344,523.4344,21  41
1,1,3,0,N,FALSE,,-1,0,0.5,1.4751,508.9095,520.9344,524.9344,525.4344,22  43
1,1,4,0,F,FALSE,2@,1,0.54882,0.5,1.4751,508.9095,520.9344,526.9344,527.4344,22  41
1,1,5,0,T,FALSE,,-1,0,0.5,1.4751,508.9095,520.9344,528.9344,529.4344,22  43
1,1,6,0,X,TRUE,1!,1,0.51008,0.49999,1.4751,508.9095,520.9344,530.9344,531.4344,21  41
1,1,7,0,B,FALSE,2@,1,0.36717,0.5,1.4751,508.9095,520.9344,532.9344,533.4344,22  41
1,1,8,0,X,TRUE,,-1,0,0.50001,1.4751,508.9095,520.9344,534.9344,535.4344,21  43
