Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
126_demo,22-Apr-2014 18:17:31,1,7,3,-$5,0.070917,2.023,4.0263,6.881,8.0329,2.0033,0.28381,0.400,6,0.26729,1,space,$0,$0.00,0.083333,hit
126_demo,22-Apr-2014 18:17:31,2,5,4,+$0,10.1505,16.0294,18.0327,20.9541,22.0225,2.0033,0.33389,0.400,2,0.31846,1,space,+$0,$0.00,0.16667,hit
126_demo,22-Apr-2014 18:17:31,3,5,6,+$5,24.0383,26.0291,28.0324,30.3696,32.0223,2.0033,0.38396,0.400,2,0.36627,1,space,+$5,$5.00,0.25,hit
126_demo,22-Apr-2014 18:17:31,4,5,1,-$0,34.0337,36.0289,38.0322,40.9536,42.0221,2.0033,0.40067,0.400,2,0.59301,0,space,-$0,$5.00,0.25,late
126_demo,22-Apr-2014 18:17:31,5,5,3,-$5,44.0335,46.0286,48.0152,50.753,52.0218,1.9866,0.3339,0.400,2,0.31097,1,space,$0,$5.00,0.33333,hit
126_demo,22-Apr-2014 18:17:31,6,5,2,-$1,54.04,56.0284,58.0317,60.3522,62.0216,2.0033,0.33388,0.400,2,0.31275,1,space,$0,$5.00,0.41667,hit
126_demo,22-Apr-2014 18:17:31,7,5,5,+$1,64.039,66.0281,68.0314,70.4855,72.0213,2.0033,0.36726,0.400,2,0.3499,1,space,+$1,$6.00,0.5,hit
126_demo,22-Apr-2014 18:17:31,8,5,5,+$1,74.0334,76.0279,78.0312,80.6855,82.0211,2.0033,0.33388,0.400,2,0.31431,1,space,+$1,$7.00,0.58333,hit
126_demo,22-Apr-2014 18:17:31,9,5,1,-$0,84.033,86.0277,88.0309,90.9858,92.0208,2.0033,0.38397,0.400,2,0.37482,1,space,$0,$7.00,0.66667,hit
126_demo,22-Apr-2014 18:17:31,10,5,6,+$5,94.0329,96.0274,98.0307,101.0022,102.0206,2.0033,0.40067,0.400,2,0.38098,1,space,+$5,$12.00,0.75,hit
126_demo,22-Apr-2014 18:17:31,11,5,2,-$1,104.0326,106.0272,108.0304,110.3843,112.0203,2.0033,0.40065,0.400,2,0.41104,0,space,-$1,$11.00,0.75,late
126_demo,22-Apr-2014 18:17:31,12,5,4,+$0,114.0322,116.0269,118.0302,121.0018,122.0201,2.0033,0.40066,0.400,2,0.4654,0,space,$0,$11.00,0.75,late
