Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
126_practice,22-Apr-2014 18:20:12,1,7,3,-$5,0.06624,2.0188,4.0221,6.9937,8.0287,2.0033,0.40065,0.400,6,NaN,0,NaN,-$5,$-5.00,0,noResponse
126_practice,22-Apr-2014 18:20:12,2,5,6,+$5,10.0668,16.0252,18.0285,20.6327,22.0183,2.0033,0.40065,0.400,2,0.43089,0,space,$0,$-5.00,0,late
126_practice,22-Apr-2014 18:20:12,3,5,5,+$1,24.0295,26.0249,28.0282,30.8662,32.0181,2.0033,0.36726,0.400,2,0.35049,1,space,+$1,$-4.00,0.02381,hit
126_practice,22-Apr-2014 18:20:12,4,5,1,-$0,34.0302,36.0247,38.028,40.3818,42.0179,2.0033,0.38398,0.400,2,0.37001,1,space,$0,$-4.00,0.047619,hit
126_practice,22-Apr-2014 18:20:12,5,6,2,-$1,44.0298,46.0244,48.0277,50.5986,52.0176,2.0033,0.28379,0.400,4,0.27412,1,space,$0,$-4.00,0.071429,hit
126_practice,22-Apr-2014 18:20:12,6,6,4,+$0,54.0297,58.0275,60.0308,62.9689,64.0207,2.0033,0.35057,0.400,4,0.32992,1,space,+$0,$-4.00,0.095238,hit
126_practice,22-Apr-2014 18:20:12,7,7,6,+$5,66.0327,70.0305,72.0171,74.8718,76.0237,1.9866,0.30049,0.400,6,0.27977,1,space,+$5,$1.00,0.11905,hit
126_practice,22-Apr-2014 18:20:12,8,5,1,-$0,78.0357,84.0202,86.0235,88.995,90.03,2.0033,0.40067,0.400,2,0.47891,0,space,-$0,$1.00,0.11905,late
126_practice,22-Apr-2014 18:20:12,9,6,3,-$5,92.0254,94.0199,96.0232,98.761,100.0298,2.0033,0.40067,0.400,4,NaN,0,NaN,-$5,$-4.00,0.11905,noResponse
126_practice,22-Apr-2014 18:20:12,10,5,4,+$0,102.0251,106.023,108.0263,110.2967,112.0162,2.0033,0.33388,0.400,2,0.31986,1,space,+$0,$-4.00,0.14286,hit
126_practice,22-Apr-2014 18:20:12,11,7,5,+$1,114.0282,116.0227,118.026,120.9141,122.0326,2.0033,0.36727,0.400,6,0.35693,1,space,+$1,$-3.00,0.16667,hit
126_practice,22-Apr-2014 18:20:12,12,6,1,-$0,124.0279,130.0291,132.0324,134.9705,136.0222,2.0033,0.40065,0.400,4,NaN,0,NaN,-$0,$-3.00,0.16667,noResponse
126_practice,22-Apr-2014 18:20:12,13,5,1,-$0,138.0342,142.0321,144.0187,146.7899,148.0253,1.9866,0.3005,0.420,2,0.28235,1,space,$0,$-3.00,0.19048,hit
126_practice,22-Apr-2014 18:20:12,14,5,4,+$0,150.0373,152.0319,154.0185,156.8398,158.0251,1.9866,0.35056,0.400,2,0.33826,1,space,+$0,$-3.00,0.21429,hit
126_practice,22-Apr-2014 18:20:12,15,6,6,+$5,160.0359,162.0316,164.0182,166.8395,168.0248,1.9866,0.3005,0.400,4,0.28263,1,space,+$5,$2.00,0.2381,hit
126_practice,22-Apr-2014 18:20:12,16,6,1,-$0,170.0368,174.018,176.0213,178.5588,180.0279,2.0033,0.41736,0.440,4,0.40162,1,space,$0,$2.00,0.2619,hit
126_practice,22-Apr-2014 18:20:12,17,6,1,-$0,182.0393,186.021,188.0243,190.7621,192.0309,2.0033,0.35058,0.460,4,0.33726,1,space,$0,$2.00,0.28571,hit
