Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
127_b2,05-May-2014 16:30:50,43,7,4,+$0,0.18057,18.0295,20.0295,22.8462,24.0295,2,0.21666,0.275,6,0.20355,1,1!,+$0,$0.00,0.020833,hit
127_b2,05-May-2014 16:30:50,44,6,2,-$1,26.0406,32.0295,34.0295,36.8628,38.0295,2,0.21667,0.275,4,0.19788,1,1!,$0,$0.00,0.041667,hit
127_b2,05-May-2014 16:30:50,45,5,5,+$1,40.038,44.0295,46.0295,48.4128,50.0295,2,0.24999,0.275,2,0.23889,1,1!,+$1,$1.00,0.0625,hit
127_b2,05-May-2014 16:30:50,46,5,1,-$0,52.0382,54.0295,56.0295,58.6462,60.0295,2,0.20001,0.275,2,0.18756,1,1!,$0,$1.00,0.083333,hit
127_b2,05-May-2014 16:30:50,47,6,6,+$5,62.0378,64.0295,66.0295,68.6128,70.0295,2,0.2,0.275,4,0.18689,1,1!,+$5,$6.00,0.10417,hit
127_b2,05-May-2014 16:30:50,48,6,2,-$1,72.0378,76.0295,78.0295,80.7628,82.0295,2,0.19999,0.275,4,0.18089,1,1!,$0,$6.00,0.125,hit
127_b2,05-May-2014 16:30:50,49,7,4,+$0,84.0387,88.0295,90.0295,92.8128,94.0295,2,0.21667,0.275,6,0.2019,1,1!,+$0,$6.00,0.14583,hit
127_b2,05-May-2014 16:30:50,50,5,1,-$0,96.0378,102.0295,104.0295,106.8462,108.0295,2,0.24999,0.275,2,0.48555,0,1!,-$0,$6.00,0.14583,late
127_b2,05-May-2014 16:30:50,51,5,4,+$0,110.0388,112.0128,114.0295,116.4795,118.0295,2.0167,0.21666,0.275,2,0.21122,1,1!,+$0,$6.00,0.16667,hit
127_b2,05-May-2014 16:30:50,52,7,3,-$5,120.0714,122.0295,124.0295,126.7795,128.0295,2,0.21667,0.275,6,0.19722,1,1!,$0,$6.00,0.1875,hit
127_b2,05-May-2014 16:30:50,53,7,2,-$1,130.0387,136.0295,138.0295,140.7628,142.0295,2,0.23334,0.275,6,0.21389,1,1!,$0,$6.00,0.20833,hit
127_b2,05-May-2014 16:30:50,54,6,6,+$5,144.0379,150.0295,152.0295,154.3962,156.0295,2,0.2,0.275,4,0.18555,1,1!,+$5,$11.00,0.22917,hit
127_b2,05-May-2014 16:30:50,55,7,2,-$1,158.0379,162.0295,164.0295,166.3628,168.0295,2,0.23332,0.255,6,0.24089,0,1!,-$1,$10.00,0.22917,late
127_b2,05-May-2014 16:30:50,56,6,4,+$0,170.0386,176.0295,178.0295,180.6462,182.0295,2,0.2,0.255,4,0.19556,1,1!,+$0,$10.00,0.25,hit
127_b2,05-May-2014 16:30:50,57,5,3,-$5,184.0378,188.0295,190.0295,192.9962,194.0295,2,0.2,0.275,2,0.19459,1,1!,$0,$10.00,0.27083,hit
127_b2,05-May-2014 16:30:50,58,7,2,-$1,196.0378,198.0295,200.0295,202.5295,204.0295,2,0.20001,0.235,6,0.18822,1,1!,$0,$10.00,0.29167,hit
