Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
127_demo,02-May-2014 10:22:47,1,7,3,-$5,0.06206,2.0299,4.0165,6.8879,8.0231,1.9866,0.38396,0.400,6,0.44667,0,space,-$5,$-5.00,0,late
127_demo,02-May-2014 10:22:47,2,5,4,+$0,10.1995,16.0196,18.0229,20.961,22.0295,2.0033,0.36727,0.400,2,0.40556,0,space,$0,$-5.00,0,late
Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
127_demo,02-May-2014 10:24:23,1,7,3,-$5,0.021157,2.0232,4.0265,6.9647,8.0164,2.0033,0.48411,0.500,6,0.48934,0,space,-$5,$-5.00,0,late
127_demo,02-May-2014 10:24:23,2,5,4,+$0,10.0298,16.0296,18.0162,20.754,22.0228,1.9866,0.38397,0.500,2,0.37204,1,space,+$0,$-5.00,0.083333,hit
127_demo,02-May-2014 10:24:23,3,5,6,+$5,24.0337,26.0293,28.0326,30.3531,32.0225,2.0033,0.33388,0.500,2,0.32493,1,space,+$5,$0.00,0.16667,hit
127_demo,02-May-2014 10:24:23,4,5,1,-$0,34.0335,36.0291,38.0324,40.4864,42.0223,2.0033,0.33388,0.500,2,0.31162,1,space,$0,$0.00,0.25,hit
127_demo,02-May-2014 10:24:23,5,5,3,-$5,44.0332,46.0288,48.0321,50.6865,52.022,2.0033,0.48411,0.500,2,0.54367,0,space,-$5,$-5.00,0.25,late
127_demo,02-May-2014 10:24:23,6,5,2,-$1,54.0328,56.0286,58.0319,60.9867,62.0218,2.0033,0.26711,0.500,2,0.2593,1,space,$0,$-5.00,0.33333,hit
127_demo,02-May-2014 10:24:23,7,5,5,+$1,64.0328,66.0284,68.0317,71.0032,72.0215,2.0033,0.28381,0.500,2,0.26684,1,space,+$1,$-4.00,0.41667,hit
127_demo,02-May-2014 10:24:23,8,5,5,+$1,74.0331,76.0281,78.0314,80.3853,82.0213,2.0033,0.40066,0.500,2,0.38076,1,space,+$1,$-3.00,0.5,hit
127_demo,02-May-2014 10:24:23,9,5,1,-$0,84.0321,86.0279,88.0312,91.0027,92.021,2.0033,0.33389,0.500,2,0.31534,1,space,$0,$-3.00,0.58333,hit
127_demo,02-May-2014 10:24:23,10,5,6,+$5,94.0318,96.0276,98.0309,100.9858,102.0208,2.0033,0.31719,0.500,2,0.30028,1,space,+$5,$2.00,0.66667,hit
127_demo,02-May-2014 10:24:23,11,5,2,-$1,104.0324,106.0274,108.0307,110.635,112.0206,2.0033,0.48414,0.500,2,NaN,0,NaN,-$1,$1.00,0.66667,noResponse
127_demo,02-May-2014 10:24:23,12,5,4,+$0,114.0318,116.0271,118.0304,120.8684,122.0203,2.0033,0.48413,0.500,2,NaN,0,NaN,$0,$1.00,0.66667,noResponse
