Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
128_demo,03-Jun-2014 14:59:30,1,7,3,-$5,0.23754,2.0316,4.0182,6.8896,8.0248,1.9866,0.3005,0.400,6,0.28602,1,space,$0,$0.00,0.083333,hit
128_demo,03-Jun-2014 14:59:30,2,5,4,+$0,10.1259,16.0213,18.0245,20.946,22.0311,2.0033,0.28379,0.400,2,0.2696,1,space,+$0,$0.00,0.16667,hit
128_demo,03-Jun-2014 14:59:30,3,5,6,+$5,24.0293,26.021,28.0243,30.3615,32.0309,2.0033,0.2838,0.400,2,0.27014,1,space,+$5,$5.00,0.25,hit
128_demo,03-Jun-2014 14:59:30,4,5,1,-$0,34.0262,36.0208,38.0241,40.9622,42.0306,2.0033,0.30051,0.400,2,0.2854,1,space,$0,$5.00,0.33333,hit
128_demo,03-Jun-2014 14:59:30,5,5,3,-$5,44.0258,46.0205,48.0238,50.745,52.0304,2.0033,0.2838,0.400,2,0.27864,1,space,$0,$5.00,0.41667,hit
128_demo,03-Jun-2014 14:59:30,6,5,2,-$1,54.3069,56.0203,58.0236,60.344,62.0301,2.0033,0.23372,0.400,2,0.22356,1,space,$0,$5.00,0.5,hit
128_demo,03-Jun-2014 14:59:30,7,5,5,+$1,64.0422,66.02,68.0233,70.4774,72.0299,2.0033,0.2671,0.400,2,0.25023,1,space,+$1,$6.00,0.58333,hit
128_demo,03-Jun-2014 14:59:30,8,5,5,+$1,74.0252,76.0198,78.0231,80.6774,82.0297,2.0033,0.23371,0.400,2,0.21816,1,space,+$1,$7.00,0.66667,hit
128_demo,03-Jun-2014 14:59:30,9,5,1,-$0,84.0409,86.0195,88.0228,90.9944,92.0294,2.0033,0.23372,0.400,2,0.22122,1,space,$0,$7.00,0.75,hit
128_demo,03-Jun-2014 14:59:30,10,5,6,+$5,94.0414,96.0193,98.0226,100.9941,102.0292,2.0033,0.25041,0.400,2,0.24546,1,space,+$5,$12.00,0.83333,hit
128_demo,03-Jun-2014 14:59:30,11,5,2,-$1,104.0407,106.0191,108.0224,110.3929,112.0289,2.0033,0.23371,0.400,2,0.23069,1,space,$0,$12.00,0.91667,hit
128_demo,03-Jun-2014 14:59:30,12,5,4,+$0,114.0408,116.0188,118.0221,121.0103,122.0287,2.0033,0.23372,0.400,2,0.22925,1,space,+$0,$12.00,1,hit
