Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
128_practice,03-Jun-2014 15:03:27,1,7,3,-$5,0.1162,2.0286,4.0319,6.9867,8.0218,2.0033,0.3172,0.400,6,0.29795,1,space,$0,$0.00,0.02381,hit
128_practice,03-Jun-2014 15:03:27,2,5,6,+$5,10.0367,16.0182,18.0215,20.6425,22.0281,2.0033,0.25041,0.400,2,0.23418,1,space,+$5,$5.00,0.047619,hit
128_practice,03-Jun-2014 15:03:27,3,5,5,+$1,24.0401,26.018,28.0213,30.876,32.0279,2.0033,0.21702,0.400,2,0.20871,1,space,+$1,$6.00,0.071429,hit
128_practice,03-Jun-2014 15:03:27,4,5,1,-$0,34.0398,36.0178,38.021,40.3749,42.0276,2.0033,0.23371,0.400,2,0.22978,1,space,$0,$6.00,0.095238,hit
128_practice,03-Jun-2014 15:03:27,5,6,2,-$1,44.0397,46.0175,48.0208,50.5917,52.0274,2.0033,0.21703,0.400,4,0.205,1,space,$0,$6.00,0.11905,hit
128_practice,03-Jun-2014 15:03:27,6,6,4,+$0,54.0393,58.0206,60.0239,62.962,64.0304,2.0033,0.23371,0.400,4,0.21867,1,space,+$0,$6.00,0.14286,hit
128_practice,03-Jun-2014 15:03:27,7,7,6,+$5,66.0258,70.0236,72.0269,74.8649,76.0168,2.0033,0.23372,0.400,6,0.2198,1,space,+$5,$11.00,0.16667,hit
128_practice,03-Jun-2014 15:03:27,8,5,1,-$0,78.0287,84.0299,86.0165,88.9881,90.0231,1.9866,0.23371,0.400,2,0.2166,1,space,$0,$11.00,0.19048,hit
128_practice,03-Jun-2014 15:03:27,9,6,3,-$5,92.0353,94.0297,96.0163,98.7708,100.0229,1.9866,0.21703,0.400,4,0.20988,1,space,$0,$11.00,0.21429,hit
128_practice,03-Jun-2014 15:03:27,10,5,4,+$0,102.0349,106.0161,108.0193,110.3064,112.0259,2.0033,0.21702,0.400,2,0.21025,1,space,+$0,$11.00,0.2381,hit
128_practice,03-Jun-2014 15:03:27,11,7,5,+$1,114.0379,116.0158,118.0191,120.9072,122.0257,2.0033,0.23372,0.400,6,0.21751,1,space,+$1,$12.00,0.2619,hit
128_practice,03-Jun-2014 15:03:27,12,6,1,-$0,124.0368,130.0221,132.0254,134.9803,136.032,2.0033,0.36728,0.400,4,NaN,0,NaN,-$0,$12.00,0.2619,early
128_practice,03-Jun-2014 15:03:27,13,5,1,-$0,138.0275,142.0252,144.0285,146.783,148.0184,2.0033,0.23371,0.380,2,0.22968,1,space,$0,$12.00,0.28571,hit
128_practice,03-Jun-2014 15:03:27,14,5,4,+$0,150.0311,152.025,154.0282,156.8495,158.0181,2.0033,0.23371,0.400,2,0.21915,1,space,+$0,$12.00,0.30952,hit
128_practice,03-Jun-2014 15:03:27,15,6,6,+$5,160.0302,162.0247,164.028,166.8326,168.0179,2.0033,0.23373,0.400,4,0.22009,1,space,+$5,$17.00,0.33333,hit
128_practice,03-Jun-2014 15:03:27,16,6,1,-$0,170.0298,174.0278,176.031,178.5685,180.0209,2.0033,0.20033,0.360,4,0.19614,1,space,$0,$17.00,0.35714,hit
128_practice,03-Jun-2014 15:03:27,17,6,1,-$0,182.0329,186.0308,188.0174,190.7719,192.024,1.9866,0.21703,0.340,4,0.20879,0,space,-$0,$17.00,0.35714,early
128_practice,03-Jun-2014 15:03:27,18,7,2,-$1,194.0359,198.0171,200.0204,202.4077,204.027,2.0033,0.23371,0.400,6,0.22099,1,space,$0,$17.00,0.38095,hit
128_practice,03-Jun-2014 15:03:27,19,7,2,-$1,206.039,212.0235,214.0268,216.798,218.0167,2.0033,0.23372,0.400,6,0.2147,1,space,$0,$17.00,0.40476,hit
