Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
20_b1,13-Jan-2014 17:03:29,43,7,1,-$0,0.1395,12.0221,14.0229,16.8727,18.0225,2.0008,0.28352,0.300,6,0.24884,1,1!,$0,$0.00,0.02381,hit
20_b1,13-Jan-2014 17:03:29,44,7,2,-$1,20.2872,26.0221,28.0226,30.9388,32.0227,2.0005,0.31733,0.300,6,0.27899,1,1!,$0,$0.00,0.047619,hit
20_b1,13-Jan-2014 17:03:29,45,7,2,-$1,34.0324,40.0219,42.0221,44.3561,46.0227,2.0002,0.31668,0.300,6,NaN,0,NaN,-$1,$-1.00,0.047619,noResponse
20_b1,13-Jan-2014 17:03:29,46,5,4,+$0,48.0321,54.0223,56.0219,58.9551,60.0218,1.9996,0.30061,0.300,2,0.28177,1,1!,+$0,$-1.00,0.071429,hit
20_b1,13-Jan-2014 17:03:29,47,6,4,+$0,62.0293,64.0227,66.0224,68.7552,70.0223,1.9998,0.30094,0.300,4,0.19388,0,1!,$0,$-1.00,0.071429,late
20_b1,13-Jan-2014 17:03:29,48,6,6,+$5,72.0299,76.0219,78.0227,80.3393,82.0061,2.0009,0.30021,0.300,4,NaN,0,NaN,$0,$-1.00,0.071429,noResponse
20_b1,13-Jan-2014 17:03:29,49,7,4,+$0,84.0302,88.0224,90.0229,92.4725,94.0227,2.0005,0.28342,0.300,6,0.24737,1,1!,+$0,$-1.00,0.095238,hit
20_b1,13-Jan-2014 17:03:29,50,6,4,+$0,96.0312,102.0223,104.0218,106.6724,108.0219,1.9995,0.28282,0.280,4,NaN,0,NaN,$0,$-1.00,0.095238,noResponse
20_b1,13-Jan-2014 17:03:29,51,7,3,-$5,110.0303,114.0227,116.0228,118.9886,120.0059,2.0001,0.30057,0.300,6,NaN,0,NaN,-$5,$-6.00,0.095238,noResponse
20_b1,13-Jan-2014 17:03:29,52,6,2,-$1,122.0292,128.0226,130.0225,133.0052,134.0223,1.9998,0.29993,0.300,4,NaN,0,NaN,-$1,$-7.00,0.095238,noResponse
20_b1,13-Jan-2014 17:03:29,53,7,5,+$1,136.0301,140.0228,142.0228,144.3724,146.0225,2,0.3005,0.300,6,0.24133,0,1!,$0,$-7.00,0.095238,late
