Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
20_b2,17-Mar-2014 15:45:16,1,7,4,+$0,0.17563,18.0251,20.0251,22.8418,24.0251,2,0.25,0.300,6,0.22867,1,1!,+$0,$0.00,0.020833,hit
20_b2,17-Mar-2014 15:45:16,2,6,2,-$1,26.0356,32.0251,34.0251,36.8751,38.0251,2,0.23333,0.300,4,0.21078,1,1!,$0,$0.00,0.041667,hit
20_b2,17-Mar-2014 15:45:16,3,5,5,+$1,40.0325,44.0251,46.0251,48.4085,50.0251,2,0.25,0.300,2,0.23269,1,1!,+$1,$1.00,0.0625,hit
20_b2,17-Mar-2014 15:45:16,4,5,1,-$0,52.0332,54.0251,56.0251,58.6418,60.0251,2,0.26668,0.300,2,0.25158,1,1!,$0,$1.00,0.083333,hit
20_b2,17-Mar-2014 15:45:16,5,6,6,+$5,62.0325,64.0251,66.0251,68.6084,70.0251,2,0.26667,0.300,4,0.25003,1,1!,+$5,$6.00,0.10417,hit
20_b2,17-Mar-2014 15:45:16,6,6,2,-$1,72.0325,76.0251,78.0251,80.7585,82.0251,2,0.3,0.300,4,0.43194,0,1!,-$1,$5.00,0.10417,late
20_b2,17-Mar-2014 15:45:16,7,7,4,+$0,84.0324,88.0251,90.0251,92.8084,94.0251,2,0.23333,0.300,6,0.20558,1,1!,+$0,$5.00,0.125,hit
20_b2,17-Mar-2014 15:45:16,8,5,1,-$0,96.0324,102.0251,104.0251,106.8418,108.0251,2,0.24999,0.300,2,0.22222,1,1!,$0,$5.00,0.14583,hit
20_b2,17-Mar-2014 15:45:16,9,5,4,+$0,110.0324,112.0251,114.0251,116.4751,118.0251,2,0.29999,0.300,2,NaN,0,NaN,$0,$5.00,0.14583,noResponse
20_b2,17-Mar-2014 15:45:16,10,7,3,-$5,120.0323,122.0251,124.0251,126.7918,128.0251,2,0.28334,0.300,6,0.27421,1,1!,$0,$5.00,0.16667,hit
20_b2,17-Mar-2014 15:45:16,11,7,2,-$1,130.0324,136.0251,138.0251,140.7584,142.0251,2,0.26666,0.300,6,0.24938,1,1!,$0,$5.00,0.1875,hit
20_b2,17-Mar-2014 15:45:16,12,6,6,+$5,144.0327,150.0251,152.0251,154.3918,156.0251,2,0.26667,0.300,4,0.25205,1,1!,+$5,$10.00,0.20833,hit
20_b2,17-Mar-2014 15:45:16,13,7,2,-$1,158.0324,162.0251,164.0251,166.3585,168.0251,2,0.25,0.280,6,0.23149,1,1!,$0,$10.00,0.22917,hit
20_b2,17-Mar-2014 15:45:16,14,6,4,+$0,170.0325,176.0251,178.0251,180.6418,182.0251,2,0.25,0.280,4,0.22296,1,1!,+$0,$10.00,0.25,hit
20_b2,17-Mar-2014 15:45:16,15,5,3,-$5,184.0325,188.0251,190.0251,192.9918,194.0251,2,0.26666,0.300,2,0.25382,1,1!,$0,$10.00,0.27083,hit
20_b2,17-Mar-2014 15:45:16,16,7,2,-$1,196.033,198.0251,200.0251,202.5251,204.0251,2,0.23333,0.260,6,0.2251,1,1!,$0,$10.00,0.29167,hit
20_b2,17-Mar-2014 15:45:16,17,5,3,-$5,206.0327,212.0251,214.0251,216.7084,218.0251,2,0.23334,0.300,2,0.21055,1,1!,$0,$10.00,0.3125,hit
20_b2,17-Mar-2014 15:45:16,18,7,3,-$5,220.0324,222.0251,224.0251,226.4418,228.0251,2,0.23334,0.280,6,0.22473,1,1!,$0,$10.00,0.33333,hit
20_b2,17-Mar-2014 15:45:16,19,6,6,+$5,230.0324,236.0251,238.0251,240.8418,242.0251,2,0.23334,0.300,4,0.22138,1,1!,+$5,$15.00,0.35417,hit
20_b2,17-Mar-2014 15:45:16,20,7,6,+$5,244.0325,248.0251,250.0251,252.4584,254.0251,2,0.23333,0.280,6,0.22041,1,1!,+$5,$20.00,0.375,hit
20_b2,17-Mar-2014 15:45:16,21,5,3,-$5,256.0331,262.0251,264.0251,266.6584,268.0251,2,0.25,0.260,2,0.23155,1,1!,$0,$20.00,0.39583,hit
20_b2,17-Mar-2014 15:45:16,22,7,2,-$1,270.0325,272.0251,274.0251,276.7918,278.0251,2,0.23333,0.240,6,0.21723,1,1!,$0,$20.00,0.41667,hit
20_b2,17-Mar-2014 15:45:16,23,7,1,-$0,280.033,286.0251,288.0251,290.9418,292.0251,2,0.25,0.300,6,0.2263,1,1!,$0,$20.00,0.4375,hit
20_b2,17-Mar-2014 15:45:16,24,6,3,-$5,294.0324,300.0251,302.0251,304.9918,306.0251,2,0.23333,0.240,4,0.32176,0,1!,-$5,$15.00,0.4375,late
20_b2,17-Mar-2014 15:45:16,25,5,4,+$0,308.0325,312.0251,314.0251,316.6918,318.0251,2,0.24999,0.260,2,0.22613,1,1!,+$0,$15.00,0.45833,hit
20_b2,17-Mar-2014 15:45:16,26,6,5,+$1,320.0331,322.0251,324.0251,326.3751,328.0251,2,0.23333,0.300,4,0.22069,1,1!,+$1,$16.00,0.47917,hit
20_b2,17-Mar-2014 15:45:16,27,7,2,-$1,330.0325,334.0251,336.0251,338.3918,340.0251,2,0.21668,0.220,6,0.22589,0,1!,-$1,$15.00,0.47917,late
20_b2,17-Mar-2014 15:45:16,28,5,5,+$1,342.0324,348.0251,350.0251,352.4751,354.0251,2,0.26668,0.300,2,0.25679,1,1!,+$1,$16.00,0.5,hit
20_b2,17-Mar-2014 15:45:16,29,7,1,-$0,356.0325,358.0251,360.0251,362.9084,364.0251,2,0.25001,0.280,6,0.23559,1,1!,$0,$16.00,0.52083,hit
20_b2,17-Mar-2014 15:45:16,30,5,5,+$1,366.0324,372.0251,374.0251,376.4584,378.0251,2,0.25,0.280,2,0.23049,1,1!,+$1,$17.00,0.54167,hit
20_b2,17-Mar-2014 15:45:16,31,6,6,+$5,380.0331,382.0251,384.0251,386.8918,388.0251,2,0.23333,0.260,4,0.21869,1,1!,+$5,$22.00,0.5625,hit
20_b2,17-Mar-2014 15:45:16,32,7,5,+$1,390.0324,394.0251,396.0251,398.4584,400.0251,2,0.23333,0.260,6,0.22302,1,1!,+$1,$23.00,0.58333,hit
20_b2,17-Mar-2014 15:45:16,33,7,3,-$5,402.0324,408.0251,410.0251,412.9751,414.0251,2,0.21666,0.220,6,0.27469,0,1!,-$5,$18.00,0.58333,late
20_b2,17-Mar-2014 15:45:16,34,6,3,-$5,416.0332,422.0251,424.0251,426.5418,428.0251,2,0.19999,0.200,4,NaN,0,NaN,-$5,$13.00,0.58333,noResponse
20_b2,17-Mar-2014 15:45:16,35,5,6,+$5,430.0323,434.0251,436.0251,438.4251,440.0251,2,0.23334,0.240,2,0.22181,1,1!,+$5,$18.00,0.60417,hit
20_b2,17-Mar-2014 15:45:16,36,6,5,+$1,442.0324,444.0251,446.0251,448.4585,450.0251,2,0.23333,0.240,4,0.21437,1,1!,+$1,$19.00,0.625,hit
20_b2,17-Mar-2014 15:45:16,37,6,5,+$1,452.0324,456.0251,458.0251,460.7418,462.0251,2,0.21667,0.220,4,NaN,0,NaN,$0,$19.00,0.625,noResponse
20_b2,17-Mar-2014 15:45:16,38,6,2,-$1,464.0324,468.0251,470.0251,472.6251,474.0251,2,0.20001,0.200,4,0.24759,0,1!,-$1,$18.00,0.625,late
20_b2,17-Mar-2014 15:45:16,39,5,1,-$0,476.0326,480.0251,482.0251,484.5418,486.0251,2,0.21667,0.260,2,0.20103,1,1!,$0,$18.00,0.64583,hit
20_b2,17-Mar-2014 15:45:16,40,6,6,+$5,488.0327,490.0251,492.0251,494.8918,496.0251,2,0.21666,0.220,4,NaN,0,NaN,$0,$18.00,0.64583,noResponse
20_b2,17-Mar-2014 15:45:16,41,6,4,+$0,498.033,502.0251,504.0251,506.7084,508.0251,2,0.21667,0.240,4,0.20453,1,1!,+$0,$18.00,0.66667,hit
20_b2,17-Mar-2014 15:45:16,42,6,4,+$0,510.0324,514.0251,516.0251,518.6918,520.0251,2,0.21668,0.220,4,NaN,0,NaN,$0,$18.00,0.66667,noResponse
20_b2,17-Mar-2014 15:45:16,43,7,1,-$0,522.0323,526.0251,528.0251,530.9584,532.0251,2,0.23333,0.240,6,NaN,0,NaN,-$0,$18.00,0.66667,noResponse
20_b2,17-Mar-2014 15:45:16,44,5,4,+$0,534.0324,540.0251,542.0251,544.4918,546.0251,2,0.2,0.200,2,0.25806,0,1!,$0,$18.00,0.66667,late
20_b2,17-Mar-2014 15:45:16,45,7,5,+$1,548.0324,550.0251,552.0251,554.8418,556.0251,2,0.20001,0.200,6,0.22671,0,1!,$0,$18.00,0.66667,late
20_b2,17-Mar-2014 15:45:16,46,5,1,-$0,558.0332,564.0251,566.0251,568.8418,570.0251,2,0.21666,0.220,2,0.23983,0,1!,-$0,$18.00,0.66667,late
20_b2,17-Mar-2014 15:45:16,47,5,1,-$0,572.0325,574.0251,576.0251,578.5585,580.0251,2,0.19999,0.200,2,0.21931,0,1!,-$0,$18.00,0.66667,late
20_b2,17-Mar-2014 15:45:16,48,5,6,+$5,582.0326,584.0251,586.0251,588.6918,590.0251,2,0.19999,0.200,2,NaN,0,NaN,$0,$18.00,0.66667,noResponse
