Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
2_practice,13-Feb-2014 14:42:35,1,7,3,-$5,0.019122,2.0218,4.0251,6.9966,8.0317,2.0033,0.25042,0.300,6,0.24296,1,space,$0,$0.00,0.02381,hit
2_practice,13-Feb-2014 14:42:35,2,5,6,+$5,10.0288,16.0282,18.0315,20.6357,22.0213,2.0033,0.26712,0.300,2,0.24628,1,space,+$5,$5.00,0.047619,hit
2_practice,13-Feb-2014 14:42:35,3,5,5,+$1,24.0321,26.0279,28.0312,30.8692,32.0211,2.0033,0.30048,0.300,2,0.010018,0,space,$0,$5.00,0.047619,late
2_practice,13-Feb-2014 14:42:35,4,5,1,-$0,34.0317,36.0277,38.031,40.3848,42.0208,2.0033,0.30049,0.300,2,0.0061931,0,space,-$0,$5.00,0.047619,late
2_practice,13-Feb-2014 14:42:35,5,6,2,-$1,44.0323,46.0274,48.0307,50.5849,52.0206,2.0033,0.23372,0.300,4,0.22535,1,space,$0,$5.00,0.071429,hit
2_practice,13-Feb-2014 14:42:35,6,6,4,+$0,54.0316,58.0305,60.0171,62.9552,64.0236,1.9866,0.25041,0.300,4,0.22995,1,space,+$0,$5.00,0.095238,hit
2_practice,13-Feb-2014 14:42:35,7,7,6,+$5,66.0342,70.0168,72.0201,74.8748,76.0267,2.0033,0.23371,0.300,6,0.2138,1,space,+$5,$10.00,0.11905,hit
2_practice,13-Feb-2014 14:42:35,8,5,1,-$0,78.0381,84.0232,86.0264,88.998,90.0163,2.0033,0.30048,0.300,2,0.11256,0,space,-$0,$10.00,0.11905,late
2_practice,13-Feb-2014 14:42:35,9,6,3,-$5,92.027,94.0229,96.0262,98.764,100.0161,2.0033,0.25041,0.300,4,0.22883,1,space,$0,$10.00,0.14286,hit
2_practice,13-Feb-2014 14:42:35,10,5,4,+$0,102.0275,106.026,108.0293,110.2996,112.0191,2.0033,0.30049,0.300,2,NaN,0,NaN,$0,$10.00,0.14286,noResponse
