Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
38_b1,24-Feb-2014 16:41:44,43,7,1,-$0,0.16905,36.0184,38.0184,40.8851,42.0184,2,0.3,0.300,6,0.15885,0,1!,-$0,$0.00,0,late
38_b1,24-Feb-2014 16:41:44,44,7,2,-$1,44.2371,50.0184,52.0184,54.9518,56.0184,2,0.26666,0.300,6,0.25581,1,1!,$0,$0.00,0.02381,hit
38_b1,24-Feb-2014 16:41:44,45,7,2,-$1,58.0282,64.0184,66.0184,68.3684,70.0184,2,0.28333,0.300,6,0.27141,1,1!,$0,$0.00,0.047619,hit
38_b1,24-Feb-2014 16:41:44,46,5,4,+$0,72.0268,78.0184,80.0184,82.9517,84.0184,2,0.25001,0.300,2,0.22321,1,1!,+$0,$0.00,0.071429,hit
38_b1,24-Feb-2014 16:41:44,47,6,4,+$0,86.0261,88.0184,90.0184,92.7518,94.0184,2,0.24999,0.300,4,0.23193,1,1!,+$0,$0.00,0.095238,hit
38_b1,24-Feb-2014 16:41:44,48,6,6,+$5,96.0257,100.0184,102.0184,104.3517,106.0184,2,0.3,0.300,4,0.016823,0,1!,$0,$0.00,0.095238,late
38_b1,24-Feb-2014 16:41:44,49,7,4,+$0,108.0265,112.0184,114.0184,116.4851,118.0184,2,0.3,0.300,6,0.27517,1,1!,+$0,$0.00,0.11905,hit
38_b1,24-Feb-2014 16:41:44,50,6,4,+$0,120.0257,126.0184,128.0184,130.6851,132.0184,2,0.23334,0.280,4,0.21417,1,1!,+$0,$0.00,0.14286,hit
38_b1,24-Feb-2014 16:41:44,51,7,3,-$5,134.0257,138.0184,140.0184,142.9851,144.0184,2,0.25001,0.300,6,0.23038,1,1!,$0,$0.00,0.16667,hit
38_b1,24-Feb-2014 16:41:44,52,6,2,-$1,146.0262,152.0184,154.0184,157.0018,158.0184,2,0.25,0.300,4,0.23755,1,1!,$0,$0.00,0.19048,hit
38_b1,24-Feb-2014 16:41:44,53,7,5,+$1,160.0257,164.0184,166.0184,168.3851,170.0184,2,0.29999,0.300,6,0.27677,1,1!,+$1,$1.00,0.21429,hit
38_b1,24-Feb-2014 16:41:44,54,5,1,-$0,172.0258,178.0184,180.0184,183.0017,184.0184,2,0.30001,0.300,2,0.013202,0,1!,-$0,$1.00,0.21429,late
38_b1,24-Feb-2014 16:41:44,55,5,5,+$1,186.0257,188.0184,190.0184,192.9851,194.0184,2,0.23333,0.300,2,0.22268,1,1!,+$1,$2.00,0.2381,hit
38_b1,24-Feb-2014 16:41:44,56,7,5,+$1,196.0257,198.0184,200.0184,202.6351,204.0184,2,0.3,0.300,6,0.0059746,0,1!,$0,$2.00,0.2381,late
38_b1,24-Feb-2014 16:41:44,57,5,6,+$5,206.026,212.0184,214.0184,216.8684,218.0184,2,0.23334,0.300,2,0.2228,1,1!,+$5,$7.00,0.2619,hit
38_b1,24-Feb-2014 16:41:44,58,6,3,-$5,220.0257,222.0184,224.0184,226.3851,228.0184,2,0.25,0.300,4,0.23614,1,1!,$0,$7.00,0.28571,hit
38_b1,24-Feb-2014 16:41:44,59,6,4,+$0,230.0258,234.0184,236.0184,238.5851,240.0184,2,0.25,0.260,4,0.24,1,1!,+$0,$7.00,0.30952,hit
38_b1,24-Feb-2014 16:41:44,60,7,2,-$1,242.0258,246.0184,248.0184,250.9684,252.0184,2,0.28334,0.280,6,0.016796,0,1!,-$1,$6.00,0.30952,late
38_b1,24-Feb-2014 16:41:44,61,5,1,-$0,254.0263,260.0184,262.0184,264.8684,266.0184,2,0.30001,0.300,2,0.03021,0,1!,-$0,$6.00,0.30952,late
38_b1,24-Feb-2014 16:41:44,62,6,2,-$1,268.0263,270.0184,272.0184,275.0017,276.0184,2,0.23335,0.260,4,0.2208,1,1!,$0,$6.00,0.33333,hit
38_b1,24-Feb-2014 16:41:44,63,7,6,+$5,278.0262,282.0184,284.0184,286.7684,288.0184,2,0.24999,0.300,6,0.2396,1,1!,+$5,$11.00,0.35714,hit
38_b1,24-Feb-2014 16:41:44,64,7,3,-$5,290.0262,296.0184,298.0184,300.3018,302.0184,2,0.19999,0.300,6,0.18869,1,1!,$0,$11.00,0.38095,hit
38_b1,24-Feb-2014 16:41:44,65,6,6,+$5,304.0263,310.0184,312.0184,314.9184,316.0184,2,0.23333,0.280,4,0.22116,1,1!,+$5,$16.00,0.40476,hit
38_b1,24-Feb-2014 16:41:44,66,5,5,+$1,318.0264,322.0184,324.0184,326.9684,328.0184,2,0.23334,0.280,2,0.21242,1,1!,+$1,$17.00,0.42857,hit
38_b1,24-Feb-2014 16:41:44,67,6,3,-$5,330.0262,332.0184,334.0184,336.7851,338.0184,2,0.21667,0.280,4,0.1939,1,1!,$0,$17.00,0.45238,hit
38_b1,24-Feb-2014 16:41:44,68,7,2,-$1,340.0257,344.0184,346.0184,348.8351,350.0184,2,0.23333,0.240,6,NaN,0,NaN,-$1,$16.00,0.45238,noResponse
38_b1,24-Feb-2014 16:41:44,69,6,5,+$1,352.0261,358.0184,360.0184,362.8351,364.0184,2,0.24998,0.260,4,NaN,0,NaN,$0,$16.00,0.45238,noResponse
38_b1,24-Feb-2014 16:41:44,70,5,1,-$0,366.0256,370.0184,372.0184,374.5684,376.0184,2,0.31667,0.320,2,NaN,0,NaN,-$0,$16.00,0.45238,noResponse
38_b1,24-Feb-2014 16:41:44,71,5,5,+$1,378.0256,380.0184,382.0184,384.7684,386.0184,2,0.21667,0.280,2,0.20106,1,1!,+$1,$17.00,0.47619,hit
38_b1,24-Feb-2014 16:41:44,72,7,6,+$5,388.0257,390.0184,392.0184,394.4018,396.0184,2,0.23333,0.260,6,0.20809,1,1!,+$5,$22.00,0.5,hit
38_b1,24-Feb-2014 16:41:44,73,7,1,-$0,398.0257,404.0184,406.0184,408.8017,410.0184,2,0.28334,0.340,6,0.27029,1,1!,$0,$22.00,0.52381,hit
38_b1,24-Feb-2014 16:41:44,74,7,4,+$0,412.0257,418.0184,420.0184,422.3017,424.0184,2,0.23333,0.240,6,0.2229,1,1!,+$0,$22.00,0.54762,hit
