Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
39_practice,13-May-2014 15:52:08,1,7,3,-$5,0.081297,2.0217,4.025,6.8797,8.0316,2.0033,0.28381,0.300,6,0.47907,0,space,-$5,$-5.00,0,late
39_practice,13-May-2014 15:52:08,2,5,6,+$5,10.2779,16.0281,18.0313,20.9528,22.0212,2.0033,0.28381,0.300,2,0.32594,0,space,$0,$-5.00,0,late
39_practice,13-May-2014 15:52:08,3,5,5,+$1,24.035,26.0278,28.0311,30.3683,32.021,2.0033,0.2838,0.300,2,0.35047,0,space,$0,$-5.00,0,late
39_practice,13-May-2014 15:52:08,4,5,1,-$0,34.0325,36.0276,38.0309,40.9523,42.0208,2.0033,0.2838,0.300,2,NaN,0,NaN,-$0,$-5.00,0,noResponse
39_practice,13-May-2014 15:52:08,5,6,2,-$1,44.0327,46.0273,48.0306,50.7517,52.0205,2.0033,0.26711,0.300,4,0.255,1,space,$0,$-5.00,0.02381,hit
39_practice,13-May-2014 15:52:08,6,6,4,+$0,54.0326,58.0304,60.017,62.3541,64.0235,1.9866,0.26711,0.300,4,0.3646,0,space,$0,$-5.00,0.02381,late
39_practice,13-May-2014 15:52:08,7,7,6,+$5,66.0363,70.0167,72.02,74.4907,76.0266,2.0033,0.26709,0.300,6,0.27601,0,space,$0,$-5.00,0.02381,late
39_practice,13-May-2014 15:52:08,8,5,1,-$0,78.039,84.0231,86.0264,88.6807,90.0162,2.0033,0.28381,0.300,2,0.27004,1,space,$0,$-5.00,0.047619,hit
39_practice,13-May-2014 15:52:08,9,6,3,-$5,92.0279,94.0228,96.0261,98.9976,100.016,2.0033,0.25042,0.300,4,0.23311,1,space,$0,$-5.00,0.071429,hit
39_practice,13-May-2014 15:52:08,10,5,4,+$0,102.0278,106.0259,108.0292,111.0007,112.019,2.0033,0.25041,0.300,2,0.24605,1,space,+$0,$-5.00,0.095238,hit
39_practice,13-May-2014 15:52:08,11,7,5,+$1,114.0314,116.0256,118.0289,120.3995,122.0188,2.0033,0.20034,0.300,6,0.18328,1,space,+$1,$-4.00,0.11905,hit
39_practice,13-May-2014 15:52:08,12,6,1,-$0,124.0296,130.032,132.0186,135.0068,136.0251,1.9866,0.21702,0.300,4,0.19996,1,space,$0,$-4.00,0.14286,hit
39_practice,13-May-2014 15:52:08,13,5,1,-$0,138.0371,142.0183,144.0216,146.9932,148.0282,2.0033,0.21702,0.280,2,0.21362,1,space,$0,$-4.00,0.16667,hit
39_practice,13-May-2014 15:52:08,14,5,4,+$0,150.0399,152.0181,154.0214,156.6423,158.0279,2.0033,0.23371,0.300,2,0.22043,1,space,+$0,$-4.00,0.19048,hit
