Subject,RunTime,Trial,TR,TrialType,CueValue,TrialOnset,CueOnset,DelayOnset,TargetOnset,FeedBackOnset,CueDuration,TargetDuration,CurrentTargetDuration,ITI,RT,ACC,KeyPressed,TrialGain,Total,TotalWinPercent,Timing
999_b1,03-Jun-2014 15:42:30,1,7,1,-$0,0.18147,12.0237,14.0254,16.8778,18.0287,2.0017,0.28356,0.300,6,NaN,0,NaN,-$0,$0.00,0,noResponse
999_b1,03-Jun-2014 15:42:30,2,7,2,-$1,20.2755,26.0187,28.0204,30.9561,32.0237,2.0017,0.28358,0.300,6,0.32121,0,1,-$1,$-1.00,0,late
999_b1,03-Jun-2014 15:42:30,3,7,2,-$1,34.0362,40.0303,42.032,44.3673,46.0186,2.0017,0.25021,0.300,6,0.23808,1,1,$0,$-1.00,0.02381,hit
999_b1,03-Jun-2014 15:42:30,4,5,4,+$0,48.0295,54.0253,56.027,58.9627,60.0136,2.0017,0.26689,0.300,2,0.25062,1,1,+$0,$-1.00,0.047619,hit
999_b1,03-Jun-2014 15:42:30,5,6,4,+$0,62.0416,64.0169,66.0186,68.7542,70.0219,2.0017,0.26689,0.300,4,NaN,0,NaN,$0,$-1.00,0.047619,noResponse
999_b1,03-Jun-2014 15:42:30,6,6,6,+$5,72.0321,76.0269,78.0286,80.3472,82.0319,2.0017,0.28356,0.300,4,NaN,0,NaN,$0,$-1.00,0.047619,noResponse
999_b1,03-Jun-2014 15:42:30,7,7,4,+$0,84.0255,88.0202,90.0219,92.4906,94.0252,2.0017,0.21685,0.300,6,0.20277,1,9,+$0,$-1.00,0.071429,hit
999_b1,03-Jun-2014 15:42:30,8,6,4,+$0,96.0352,102.0318,104.0168,106.6857,108.0201,1.985,0.25021,0.280,4,NaN,0,NaN,$0,$-1.00,0.071429,noResponse
999_b1,03-Jun-2014 15:42:30,9,7,3,-$5,110.0302,114.0251,116.0268,118.9959,120.0301,2.0017,0.28357,0.300,6,NaN,0,NaN,-$5,$-6.00,0.071429,noResponse
999_b1,03-Jun-2014 15:42:30,10,6,2,-$1,122.0401,128.0201,130.0217,132.9909,134.0251,2.0017,0.25021,0.300,4,0.23846,1,9,$0,$-6.00,0.095238,hit
999_b1,03-Jun-2014 15:42:30,11,7,5,+$1,136.034,140.03,142.0317,144.4003,146.0184,2.0017,0.26689,0.300,6,NaN,0,NaN,$0,$-6.00,0.095238,noResponse
999_b1,03-Jun-2014 15:42:30,12,5,1,-$0,148.0284,154.025,156.0267,158.9958,160.03,2.0017,0.28357,0.300,2,NaN,0,NaN,-$0,$-6.00,0.095238,noResponse
999_b1,03-Jun-2014 15:42:30,13,5,5,+$1,162.0402,164.0166,166.0183,168.9874,170.0216,2.0017,0.28356,0.300,2,NaN,0,NaN,$0,$-6.00,0.095238,noResponse
999_b1,03-Jun-2014 15:42:30,14,7,5,+$1,172.0317,174.0249,176.0266,178.6455,180.0299,2.0017,0.26688,0.300,6,NaN,0,NaN,$0,$-6.00,0.095238,noResponse
