Started: 22-Apr-2014 18:38
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	55	0	0.418	0.000	0.000	0.026	0.544	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	0	0	0	54	0	0.432	0.000	0.000	2.397	2.914	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	3.875
5	1	0	0	0	0	54	0	0.627	0.000	0.000	4.400	4.917	0.000	1.500	4.375
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	5.875
7	1	0	0	0	0	54	0	0.580	0.000	0.000	8.023	8.540	0.000	1.500	8.000
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	9.500
9	1	0	1	0	0	55	0	0.390	0.000	0.000	10.894	11.411	0.000	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	12.375
11	1	1	0	2	350	54	0	0.321	0.000	0.000	13.532	14.049	0.350	1.500	13.500
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	15.000
13	1	1	1	1	250	55	0	0.388	0.000	0.000	15.769	16.286	0.253	1.500	15.750
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	17.250
15	1	0	1	0	0	55	0	0.403	0.000	0.000	17.905	18.423	0.000	1.500	17.875
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	19.375
17	1	0	0	0	0	54	0	0.317	0.000	0.000	20.526	21.044	0.000	1.500	20.500
18	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	22.000
19	1	0	1	0	0	55	0	0.360	0.000	0.000	23.531	24.049	0.000	1.500	23.500
20	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	25.000
21	1	0	0	0	0	54	0	0.405	0.000	0.000	26.520	27.037	0.000	1.500	26.500
22	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	28.000
23	1	0	0	0	0	54	0	0.515	0.000	0.000	29.641	30.159	0.000	1.500	29.625
24	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	31.125
25	1	0	1	0	0	55	0	0.511	0.000	0.000	33.030	33.548	0.000	1.500	33.000
26	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	34.500
27	1	0	1	0	0	55	0	0.530	0.000	0.000	35.768	36.286	0.000	1.500	35.750
28	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	37.250
29	1	1	1	1	200	0	0	0.000	0.000	0.000	38.155	38.673	0.202	1.500	38.125
30	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	39.625
31	1	1	0	2	300	0	0	0.000	0.000	0.000	41.144	41.661	0.303	1.500	41.125
32	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	42.625
33	1	0	1	0	0	55	0	0.429	0.000	0.000	43.781	44.299	0.000	1.500	43.750
34	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	45.250
35	1	0	1	0	0	55	0	0.427	0.000	0.000	46.770	47.287	0.000	1.500	46.750
36	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.750	48.250
37	1	0	0	0	0	54	0	0.569	0.000	0.000	51.026	51.544	0.000	1.500	51.000
38	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	52.500
39	1	1	1	1	250	0	0	0.000	0.000	0.000	54.282	54.799	0.252	1.500	54.250
40	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	55.750
41	1	1	0	2	350	0	0	0.000	0.000	0.000	56.402	56.920	0.350	1.500	56.375
42	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	57.875
43	1	0	0	0	0	54	0	0.450	0.000	0.000	58.906	59.424	0.000	1.500	58.875
44	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	60.375
45	1	0	1	0	0	55	0	0.466	0.000	0.000	61.026	61.544	0.000	1.500	61.000
46	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	62.500
47	1	0	0	0	0	54	0	0.494	0.000	0.000	63.397	63.914	0.000	1.500	63.375
48	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	64.875
49	1	0	0	0	0	54	0	0.602	0.000	0.000	65.651	66.168	0.000	1.500	65.625
50	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	67.125
51	1	0	0	0	0	54	0	0.694	0.000	0.000	68.522	69.039	0.000	1.500	68.500
52	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	70.000
53	1	0	1	0	0	55	0	0.723	0.000	0.000	71.026	71.544	0.000	1.500	71.000
54	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	72.500
55	1	0	1	0	0	55	0	0.816	0.000	0.000	73.397	73.914	0.000	1.500	73.375
56	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	74.875
57	1	0	0	0	0	54	0	0.504	0.000	0.000	75.901	76.418	0.000	1.500	75.875
58	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	77.375
59	1	0	1	0	0	55	0	0.526	0.000	0.000	78.772	79.290	0.000	1.500	78.750
60	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	80.250
61	1	1	0	2	400	0	0	0.000	0.000	0.000	82.395	82.912	0.402	1.500	82.375
62	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	83.875
63	1	1	1	1	300	0	0	0.000	0.000	0.000	85.400	85.917	0.301	1.500	85.375
64	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	86.875
65	1	0	1	0	0	55	0	0.373	0.000	0.000	89.022	89.540	0.000	1.500	89.000
66	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	90.500
67	1	1	0	2	450	54	0	0.347	0.000	0.000	91.393	91.910	0.450	1.500	91.375
68	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	92.875
69	1	0	0	0	0	54	0	0.530	0.000	0.000	93.530	94.047	0.000	1.500	93.500
70	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	95.000
71	1	1	1	1	350	55	0	0.402	0.000	0.000	95.650	96.167	0.351	1.500	95.625
72	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	97.125
