Started: 22-Apr-2014 18:37
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	55	0	0.553	0.000	0.000	0.028	0.545	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	1	0	0	55	0	0.583	0.000	0.000	2.398	2.916	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	3.875
5	1	1	0	1	250	0	0	0.000	0.000	0.000	5.770	6.288	0.253	1.500	5.750
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	7.250
7	1	0	1	0	0	55	0	0.731	0.000	0.000	8.391	8.909	0.000	1.500	8.375
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	9.875
9	1	1	0	1	250	0	0	0.000	0.000	0.000	10.895	11.413	0.252	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	12.375
11	1	0	1	0	0	55	0	0.507	0.000	0.000	13.032	13.550	0.000	1.500	13.000
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	14.500
13	1	0	0	0	0	54	0	0.477	0.000	0.000	15.152	15.670	0.000	1.500	15.125
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	16.625
15	1	1	1	2	350	55	0	0.347	0.000	0.000	19.026	19.543	0.350	1.500	19.000
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.625	20.500
Started: 22-Apr-2014 18:37
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	55	0	0.440	0.000	0.000	0.028	0.545	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	1	0	0	55	0	0.420	0.000	0.000	2.398	2.916	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	3.875
5	1	1	0	1	250	0	0	0.000	0.000	0.000	5.770	6.288	0.253	1.500	5.750
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	7.250
7	1	0	1	0	0	55	0	0.436	0.000	0.000	8.391	8.909	0.000	1.500	8.375
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	9.875
9	1	1	0	1	250	54	0	0.404	0.000	0.000	10.895	11.413	0.252	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	12.375
11	1	0	1	0	0	55	0	0.667	0.000	0.000	13.016	13.533	0.000	1.500	13.000
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	14.500
13	1	0	0	0	0	54	0	0.604	0.000	0.000	15.152	15.670	0.000	1.500	15.125
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	16.625
15	1	1	1	2	350	55	0	0.458	0.000	0.000	19.026	19.543	0.351	1.500	19.000
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.625	20.500
Started: 01-May-2014 18:10
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	55	0	0.494	0.000	0.000	0.029	0.546	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	1	0	0	55	0	0.314	0.000	0.000	2.399	2.917	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	3.875
5	1	1	0	1	250	54	0	0.390	0.000	0.000	5.771	6.289	0.253	1.500	5.750
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	7.250
7	1	0	1	0	0	55	0	0.281	0.000	0.000	8.392	8.910	0.000	1.500	8.375
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	9.875
9	1	1	0	1	250	54	0	0.353	0.000	0.000	10.896	11.414	0.251	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	12.375
11	1	0	1	0	0	55	0	0.313	0.000	0.000	13.017	13.534	0.000	1.500	13.000
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	14.500
13	1	0	0	0	0	54	0	0.433	0.000	0.000	15.153	15.671	0.000	1.500	15.125
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	16.625
15	1	1	1	2	350	55	0	0.417	0.000	0.000	19.026	19.544	0.351	1.500	19.000
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.625	20.500
