Started: 02-May-2014 10:14
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	55	0	0.605	0.000	0.000	0.021	0.539	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	0	0	0	54	0	0.539	0.000	0.000	2.392	2.909	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	3.875
5	1	0	0	0	0	54	0	0.543	0.000	0.000	4.395	4.912	0.000	1.500	4.375
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	5.875
7	1	0	0	0	0	54	0	0.505	0.000	0.000	8.018	8.535	0.000	1.500	8.000
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	9.500
9	1	0	1	0	0	55	0	0.809	0.000	0.000	10.906	11.423	0.000	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	12.375
11	1	1	0	2	350	0	0	0.000	0.000	0.000	13.527	14.044	0.350	1.500	13.500
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	15.000
13	1	1	1	1	250	0	0	0.000	0.000	0.000	15.780	16.298	0.250	1.500	15.750
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	17.250
15	1	0	1	0	0	55	0	0.782	0.000	0.000	17.900	18.418	0.000	1.500	17.875
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	19.375
17	1	0	0	0	0	54	0	0.921	0.000	0.000	20.521	21.039	0.000	1.500	20.500
18	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	22.000
19	1	0	1	0	0	55	0	0.868	0.000	0.000	23.526	24.044	0.000	1.500	23.500
20	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	25.000
21	1	0	0	0	0	54	0	0.599	0.000	0.000	26.531	27.049	0.000	1.500	26.500
22	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	28.000
23	1	0	0	0	0	54	0	0.541	0.000	0.000	29.653	30.171	0.000	1.500	29.625
24	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	31.125
25	1	0	1	0	0	55	0	0.505	0.000	0.000	33.025	33.543	0.000	1.500	33.000
26	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	34.500
27	1	0	1	0	0	55	0	0.726	0.000	0.000	35.780	36.297	0.000	1.500	35.750
28	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	37.250
29	1	1	1	1	300	0	0	0.000	0.000	0.000	38.150	38.668	0.300	1.500	38.125
30	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	39.625
31	1	1	0	2	400	0	0	0.000	0.000	0.000	41.155	41.673	0.400	1.500	41.125
32	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	42.625
33	1	0	1	0	0	0	0	0.000	0.000	0.000	43.776	44.294	0.000	1.500	43.750
34	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	45.250
35	1	0	1	0	0	0	0	0.000	0.000	0.000	46.781	47.299	0.000	1.500	46.750
36	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.750	48.250
37	1	0	0	0	0	54	0	0.861	0.000	0.000	51.022	51.539	0.000	1.500	51.000
38	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	52.500
39	1	1	1	1	350	0	0	0.000	0.000	0.000	54.277	54.794	0.350	1.500	54.250
40	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	55.750
41	1	1	0	2	450	0	0	0.000	0.000	0.000	56.397	56.915	0.450	1.500	56.375
42	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	57.875
43	1	0	0	0	0	54	0	0.909	0.000	0.000	58.901	59.419	0.000	1.500	58.875
44	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	60.375
45	1	0	1	0	0	55	0	0.957	0.000	0.000	61.021	61.539	0.000	1.500	61.000
46	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	62.500
47	1	0	0	0	0	54	0	0.730	0.000	0.000	63.392	63.909	0.000	1.500	63.375
48	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	64.875
49	1	0	0	0	0	54	0	0.653	0.000	0.000	65.646	66.163	0.000	1.500	65.625
50	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	67.125
51	1	0	0	0	0	54	0	0.741	0.000	0.000	68.517	69.034	0.000	1.500	68.500
52	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	70.000
53	1	0	1	0	0	55	0	0.757	0.000	0.000	71.021	71.539	0.000	1.500	71.000
54	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	72.500
55	1	0	1	0	0	55	0	0.547	0.000	0.000	73.392	73.909	0.000	1.500	73.375
56	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	74.875
57	1	0	0	0	0	54	0	0.370	0.000	0.000	75.896	76.413	0.000	1.500	75.875
58	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	77.375
59	1	0	1	0	0	55	0	0.315	0.000	0.000	78.767	79.285	0.000	1.500	78.750
60	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	80.250
61	1	1	0	2	500	54	0	0.444	0.000	0.000	82.406	82.924	0.500	1.500	82.375
62	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	83.875
63	1	1	1	1	400	55	0	0.392	0.000	0.000	85.395	85.912	0.400	1.500	85.375
64	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	86.875
65	1	0	1	0	0	55	0	0.425	0.000	0.000	89.017	89.535	0.000	1.500	89.000
66	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	90.500
67	1	1	0	2	450	0	0	0.000	0.000	0.000	91.405	91.922	0.450	1.500	91.375
68	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	92.875
69	1	0	0	0	0	54	0	0.814	0.000	0.000	93.525	94.042	0.000	1.500	93.500
70	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	95.000
71	1	1	1	1	350	55	0	0.421	0.000	0.000	95.645	96.162	0.350	1.500	95.625
72	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	97.125
73	1	0	0	0	0	54	0	0.718	0.000	0.000	98.516	99.034	0.000	1.500	98.500
74	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	100.000
75	1	0	1	0	0	55	0	0.607	0.000	0.000	102.156	102.673	0.000	1.500	102.125
76	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	103.625
77	1	0	0	0	0	54	0	0.444	0.000	0.000	104.526	105.044	0.000	1.500	104.500
78	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	106.000
79	1	0	1	0	0	55	0	0.492	0.000	0.000	106.646	107.164	0.000	1.500	106.625
80	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	108.125
81	1	0	0	0	0	54	0	0.465	0.000	0.000	109.401	109.918	0.000	1.500	109.375
82	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	110.875
83	1	0	1	0	0	55	0	0.473	0.000	0.000	111.905	112.422	0.000	1.500	111.875
84	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	113.375
85	1	0	0	0	0	54	0	0.377	0.000	0.000	114.025	114.543	0.000	1.500	114.000
86	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.500	115.500
87	1	0	0	0	0	54	0	0.451	0.000	0.000	118.032	118.549	0.000	1.500	118.000
88	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	119.500
89	1	0	1	0	0	55	0	0.364	0.000	0.000	121.654	122.172	0.000	1.500	121.625
90	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	123.125
91	1	0	1	0	0	55	0	0.589	0.000	0.000	124.142	124.659	0.000	1.500	124.125
92	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	125.625
93	1	1	1	2	500	55	0	0.436	0.000	0.000	126.278	126.796	0.500	1.500	126.250
94	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	127.750
95	1	1	0	1	300	0	0	0.000	0.000	0.000	129.768	130.285	0.300	1.500	129.750
96	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	131.250
97	1	0	0	0	0	54	0	0.858	0.000	0.000	131.904	132.422	0.000	1.500	131.875
98	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	133.375
99	1	0	1	0	0	55	0	0.546	0.000	0.000	134.776	135.293	0.000	1.500	134.750
100	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	136.250
101	1	0	0	0	0	54	0	0.816	0.000	0.000	137.530	138.048	0.000	1.500	137.500
102	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	139.000
103	1	0	0	0	0	54	0	0.656	0.000	0.000	139.650	140.168	0.000	1.500	139.625
104	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	141.125
105	1	1	1	1	350	0	0	0.000	0.000	0.000	143.156	143.674	0.350	1.500	143.125
106	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	144.625
107	1	0	1	0	0	55	0	0.732	0.000	0.000	145.894	146.412	0.000	1.500	145.875
108	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	147.375
109	1	1	0	2	450	0	0	0.000	0.000	0.000	149.149	149.667	0.450	1.500	149.125
110	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	150.625
111	1	0	1	0	0	0	0	0.000	0.000	0.000	152.522	153.039	0.000	1.500	152.500
112	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	154.000
113	1	0	1	0	0	55	0	0.715	0.000	0.000	154.775	155.293	0.000	1.500	154.750
114	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	156.250
115	1	0	0	0	0	54	0	0.914	0.000	0.000	158.648	159.166	0.000	1.500	158.625
116	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	160.125
117	1	0	1	0	0	0	0	0.000	0.000	0.000	160.768	161.286	0.000	1.500	160.750
118	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	162.250
119	1	0	0	0	0	54	0	0.935	0.000	0.000	163.907	164.424	0.000	1.500	163.875
120	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	165.375
121	1	0	1	0	0	55	0	0.917	0.000	0.000	165.894	166.411	0.000	1.500	165.875
122	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.500	167.375
123	1	0	0	0	0	54	0	0.686	0.000	0.000	169.900	170.418	0.000	1.500	169.875
124	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	171.375
125	1	1	1	1	400	0	0	0.000	0.000	0.000	172.271	172.788	0.400	1.500	172.250
