Started: 02-May-2014 10:13
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	55	0	0.517	0.000	0.000	0.027	0.545	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	1	0	0	55	0	0.434	0.000	0.000	2.398	2.915	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	3.875
5	1	1	0	1	250	54	0	0.358	0.000	0.000	5.770	6.288	0.251	1.500	5.750
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	7.250
7	1	0	1	0	0	55	0	0.360	0.000	0.000	8.408	8.925	0.000	1.500	8.375
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	9.875
9	1	1	0	1	250	0	0	0.000	0.000	0.000	10.895	11.413	0.250	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	12.375
11	1	0	1	0	0	55	0	0.432	0.000	0.000	13.032	13.549	0.000	1.500	13.000
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	14.500
13	1	0	0	0	0	54	0	0.856	0.000	0.000	15.152	15.670	0.000	1.500	15.125
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	16.625
15	1	1	1	2	350	55	0	0.503	0.000	0.000	19.025	19.543	0.350	1.500	19.000
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.625	20.500
