Started: 03-Jun-2014 15:17
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	55	0	0.392	0.000	0.000	0.030	0.548	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	0	0	0	54	0	0.774	0.000	0.000	2.401	2.918	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	3.875
5	1	0	0	0	0	54	0	0.426	0.000	0.000	4.404	4.921	0.000	1.500	4.375
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	5.875
7	1	0	0	0	0	54	0	0.396	0.000	0.000	8.026	8.544	0.000	1.500	8.000
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	9.500
9	1	0	1	0	0	55	0	0.356	0.000	0.000	10.898	11.415	0.000	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	12.375
11	1	1	0	2	350	54	0	0.320	0.000	0.000	13.519	14.036	0.350	1.500	13.500
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	15.000
13	1	1	1	1	250	55	0	0.346	0.000	0.000	15.773	16.290	0.250	1.500	15.750
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	17.250
15	1	0	1	0	0	55	0	0.466	0.000	0.000	17.893	18.410	0.000	1.500	17.875
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	19.375
17	1	0	0	0	0	54	0	0.412	0.000	0.000	20.530	21.048	0.000	1.500	20.500
18	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	22.000
19	1	0	1	0	0	55	0	0.384	0.000	0.000	23.519	24.036	0.000	1.500	23.500
20	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	25.000
21	1	0	0	0	0	54	0	0.435	0.000	0.000	26.524	27.041	0.000	1.500	26.500
22	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	28.000
23	1	0	0	0	0	54	0	0.537	0.000	0.000	29.645	30.163	0.000	1.500	29.625
24	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	31.125
25	1	0	1	0	0	55	0	0.341	0.000	0.000	33.018	33.535	0.000	1.500	33.000
26	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	34.500
27	1	0	1	0	0	55	0	0.442	0.000	0.000	35.772	36.290	0.000	1.500	35.750
28	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	37.250
29	1	1	1	1	200	55	0	0.720	0.000	0.000	38.143	38.660	0.200	1.500	38.125
30	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	39.625
31	1	1	0	2	300	0	0	0.000	0.000	0.000	41.148	41.665	0.300	1.500	41.125
32	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	42.625
33	1	0	1	0	0	55	0	0.422	0.000	0.000	43.768	44.286	0.000	1.500	43.750
34	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	45.250
35	1	0	1	0	0	55	0	0.569	0.000	0.000	46.773	47.291	0.000	1.500	46.750
36	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.750	48.250
37	1	0	0	0	0	54	0	0.432	0.000	0.000	51.030	51.548	0.000	1.500	51.000
38	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	52.500
39	1	1	1	1	150	55	0	0.321	0.000	0.000	54.269	54.787	0.150	1.500	54.250
40	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	55.750
41	1	1	0	2	350	54	0	0.408	0.000	0.000	56.406	56.923	0.350	1.500	56.375
42	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	57.875
43	1	0	0	0	0	54	0	0.529	0.000	0.000	58.893	59.411	0.000	1.500	58.875
44	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	60.375
45	1	0	1	0	0	55	0	0.344	0.000	0.000	61.030	61.548	0.000	1.500	61.000
46	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	62.500
47	1	0	0	0	0	54	0	0.446	0.000	0.000	63.401	63.918	0.000	1.500	63.375
48	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	64.875
49	1	0	0	0	0	54	0	0.504	0.000	0.000	65.654	66.172	0.000	1.500	65.625
50	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	67.125
51	1	0	0	0	0	54	0	0.521	0.000	0.000	68.526	69.043	0.000	1.500	68.500
52	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	70.000
53	1	0	1	0	0	55	0	0.640	0.000	0.000	71.030	71.547	0.000	1.500	71.000
54	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	72.500
55	1	0	1	0	0	55	0	0.494	0.000	0.000	73.401	73.918	0.000	1.500	73.375
56	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	74.875
57	1	0	0	0	0	54	0	0.462	0.000	0.000	75.905	76.422	0.000	1.500	75.875
58	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	77.375
59	1	0	1	0	0	55	0	0.334	0.000	0.000	78.776	79.294	0.000	1.500	78.750
60	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	80.250
61	1	1	0	2	300	54	0	0.440	0.000	0.000	82.399	82.916	0.300	1.500	82.375
62	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	83.875
63	1	1	1	1	100	0	0	0.000	0.000	0.000	85.404	85.921	0.100	1.500	85.375
64	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	86.875
65	1	0	1	0	0	55	0	0.460	0.000	0.000	89.026	89.544	0.000	1.500	89.000
66	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	90.500
67	1	1	0	2	250	54	0	0.338	0.000	0.000	91.397	91.914	0.250	1.500	91.375
68	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	92.875
69	1	0	0	0	0	54	0	0.505	0.000	0.000	93.517	94.034	0.000	1.500	93.500
70	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	95.000
71	1	1	1	1	150	0	0	0.000	0.000	0.000	95.654	96.171	0.150	1.500	95.625
72	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	97.125
73	1	0	0	0	0	54	0	0.417	0.000	0.000	98.525	99.043	0.000	1.500	98.500
74	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	100.000
75	1	0	1	0	0	55	0	0.459	0.000	0.000	102.148	102.665	0.000	1.500	102.125
76	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	103.625
77	1	0	0	0	0	54	0	0.400	0.000	0.000	104.518	105.036	0.000	1.500	104.500
78	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	106.000
79	1	0	1	0	0	55	0	0.431	0.000	0.000	106.655	107.173	0.000	1.500	106.625
80	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	108.125
81	1	0	0	0	0	54	0	0.397	0.000	0.000	109.393	109.910	0.000	1.500	109.375
82	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	110.875
83	1	0	1	0	0	55	0	0.493	0.000	0.000	111.897	112.415	0.000	1.500	111.875
84	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	113.375
85	1	0	0	0	0	54	0	0.357	0.000	0.000	114.017	114.535	0.000	1.500	114.000
86	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.500	115.500
87	1	0	0	0	0	54	0	0.415	0.000	0.000	118.024	118.541	0.000	1.500	118.000
88	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	119.500
89	1	0	1	0	0	55	0	0.384	0.000	0.000	121.646	122.164	0.000	1.500	121.625
90	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	123.125
91	1	0	1	0	0	55	0	0.568	0.000	0.000	124.151	124.668	0.000	1.500	124.125
92	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	125.625
93	1	1	1	2	200	0	0	0.000	0.000	0.000	126.271	126.788	0.200	1.500	126.250
