Started: 17-Mar-2014 14:56
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	actualSSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	1	1	1	250	31	0	0.522	0.000	0.000	0.019	0.535	0.259	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	1.500
3	1	0	1	0	0	31	0	0.654	0.000	0.000	2.019	2.535	0.000	1.500	2.000
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	3.500
5	1	0	0	0	0	30	0	0.387	0.000	0.000	4.269	4.785	0.000	1.500	4.250
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	5.750
7	1	0	1	0	0	31	0	0.516	0.000	0.000	7.019	7.535	0.000	1.500	7.000
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	8.500
9	1	0	1	0	0	31	0	0.459	0.000	0.000	10.019	10.535	0.000	1.500	10.000
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	11.500
11	1	0	0	0	0	30	0	0.568	0.000	0.000	12.769	13.285	0.000	1.500	12.750
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	14.250
13	1	0	0	0	0	30	0	0.503	0.000	0.000	14.769	15.285	0.000	1.500	14.750
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	16.250
15	1	1	0	2	250	0	0	0.000	0.000	0.000	16.769	17.285	0.000	1.500	16.750
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.500	18.250
17	1	0	0	0	0	30	0	0.531	0.000	0.000	19.769	20.285	0.000	1.500	19.750
18	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.000	21.250
19	1	1	1	1	200	0	0	0.000	0.000	0.000	24.269	24.785	0.000	1.500	24.250
20	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.625	25.750
21	1	0	1	0	0	31	0	0.693	0.000	0.000	28.402	28.919	0.000	1.500	28.375
22	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.875	29.875
23	1	0	1	0	0	31	0	0.635	0.000	0.000	32.769	33.285	0.000	1.500	32.750
24	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	34.250
25	1	0	1	0	0	31	0	0.571	0.000	0.000	36.019	36.535	0.000	1.500	36.000
26	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	37.500
27	1	0	0	0	0	30	0	0.699	0.000	0.000	38.269	38.785	0.000	1.500	38.250
28	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	39.750
29	1	1	0	2	300	30	0	0.410	0.000	0.000	40.652	41.169	0.308	1.500	40.625
30	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	42.125
31	1	0	0	0	0	30	0	0.624	0.000	0.000	42.652	43.169	0.000	1.500	42.625
32	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	44.125
33	1	0	0	0	0	30	0	0.636	0.000	0.000	44.902	45.419	0.000	1.500	44.875
34	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	46.375
35	1	0	0	0	0	30	0	0.638	0.000	0.000	47.019	47.535	0.000	1.500	47.000
36	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	48.500
37	1	0	0	0	0	30	0	0.626	0.000	0.000	49.152	49.669	0.000	1.500	49.125
38	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.125	50.625
39	1	0	1	0	0	31	0	0.647	0.000	0.000	52.769	53.285	0.000	1.500	52.750
40	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	54.250
41	1	0	1	0	0	31	0	0.639	0.000	0.000	54.769	55.285	0.000	1.500	54.750
42	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	56.250
43	1	1	1	2	250	0	0	0.000	0.000	0.000	57.152	57.669	0.000	1.500	57.125
44	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	58.625
45	1	1	0	1	250	0	0	0.000	0.000	0.000	59.652	60.169	0.000	1.500	59.625
46	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	61.125
47	1	0	1	0	0	31	0	0.544	0.000	0.000	61.769	62.285	0.000	1.500	61.750
48	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	63.250
49	1	0	0	0	0	30	0	0.606	0.000	0.000	63.902	64.419	0.000	1.500	63.875
50	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	65.375
51	1	0	1	0	0	31	0	0.568	0.000	0.000	66.019	66.535	0.000	1.500	66.000
52	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	67.500
53	1	0	0	0	0	30	0	0.705	0.000	0.000	68.152	68.669	0.000	1.500	68.125
54	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	69.625
55	1	0	1	0	0	31	0	0.643	0.000	0.000	70.519	71.035	0.000	1.500	70.500
56	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	72.000
57	1	0	0	0	0	30	0	0.704	0.000	0.000	73.769	74.285	0.000	1.500	73.750
58	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	75.250
59	1	0	1	0	0	31	0	0.650	0.000	0.000	77.652	78.169	0.000	1.500	77.625
60	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	79.125
61	1	1	0	2	300	0	0	0.000	0.000	0.000	79.652	80.169	0.000	1.500	79.625
62	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	81.125
63	1	1	1	1	300	0	0	0.000	0.000	0.000	81.769	82.285	0.000	1.500	81.750
64	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	83.250
65	1	1	0	2	350	0	0	0.000	0.000	0.000	84.152	84.669	0.000	1.500	84.125
66	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.000	85.625
67	1	1	1	1	350	0	0	0.000	0.000	0.000	87.652	88.169	0.000	1.500	87.625
68	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	89.125
69	1	0	0	0	0	30	0	0.479	0.000	0.000	90.769	91.285	0.000	1.500	90.750
70	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	92.250
71	1	0	0	0	0	30	0	0.556	0.000	0.000	93.019	93.535	0.000	1.500	93.000
