Started: 17-Mar-2014 15:05
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	actualSSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	2	0	0	0	0	30	0	0.622	0.000	0.000	0.020	0.537	0.000	1.500	0.000
2	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	1.500
3	2	0	0	0	0	30	0	0.635	0.000	0.000	2.653	3.170	0.000	1.500	2.625
4	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	4.125
5	2	0	1	0	0	31	0	0.615	0.000	0.000	4.770	5.287	0.000	1.500	4.750
6	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	6.250
7	2	0	1	0	0	31	0	0.635	0.000	0.000	6.770	7.287	0.000	1.500	6.750
8	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	8.250
9	2	0	0	0	0	30	0	0.525	0.000	0.000	9.153	9.670	0.000	1.500	9.125
10	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	10.625
11	2	0	1	0	0	31	0	0.623	0.000	0.000	11.403	11.920	0.000	1.500	11.375
12	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	12.875
13	2	1	0	2	750	30	0	0.631	0.000	0.000	13.770	14.287	-57.809	1.500	13.750
14	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	15.250
15	2	1	1	1	750	31	0	0.682	0.000	0.000	16.403	16.920	-1.877	1.500	16.375
16	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	17.875
17	2	0	1	0	0	31	0	0.681	0.000	0.000	19.520	20.037	0.000	1.500	19.500
18	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	21.000
19	2	1	0	2	700	30	0	0.869	0.000	0.000	23.403	23.920	0.708	1.500	23.375
20	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	24.875
21	2	1	1	1	700	31	0	0.757	0.000	0.000	26.270	26.787	0.706	1.500	26.250
22	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.500	27.750
23	2	0	0	0	0	30	0	0.815	0.000	0.000	31.270	31.787	0.000	1.500	31.250
24	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	32.750
25	2	0	1	0	0	31	0	0.779	0.000	0.000	33.520	34.037	0.000	1.500	33.500
26	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	35.000
27	2	0	0	0	0	30	0	0.724	0.000	0.000	37.403	37.920	0.000	1.500	37.375
28	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	38.875
29	2	0	1	0	0	31	0	0.786	0.000	0.000	40.153	40.670	0.000	1.500	40.125
30	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	41.625
31	2	0	0	0	0	30	0	0.777	0.000	0.000	42.903	43.420	0.000	1.500	42.875
32	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	44.375
33	2	0	0	0	0	30	0	0.951	0.000	0.000	45.403	45.920	0.000	1.500	45.375
34	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.875	46.875
35	2	1	0	2	650	30	0	0.814	0.000	0.000	49.770	50.287	0.658	1.500	49.750
36	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	51.250
37	2	0	1	0	0	31	0	0.767	0.000	0.000	52.403	52.920	0.000	1.500	52.375
38	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	53.875
39	2	0	0	0	0	30	0	0.844	0.000	0.000	54.520	55.037	0.000	1.500	54.500
40	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	56.000
41	2	0	0	0	0	30	0	0.975	0.000	0.000	56.653	57.170	0.000	1.500	56.625
42	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	58.125
43	2	0	1	0	0	31	0	0.775	0.000	0.000	59.403	59.920	0.000	1.500	59.375
44	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	60.875
45	2	1	1	1	650	31	0	0.884	0.000	0.000	62.520	63.037	0.657	1.500	62.500
46	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.125	64.000
47	2	0	1	0	0	31	0	0.772	0.000	0.000	67.153	67.670	0.000	1.500	67.125
48	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	68.625
49	2	0	1	0	0	31	0	0.792	0.000	0.000	69.653	70.170	0.000	1.500	69.625
50	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	71.125
51	2	1	0	1	600	30	0	0.904	0.000	0.000	72.903	73.420	0.607	1.500	72.875
52	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	74.375
53	2	0	0	0	0	30	0	0.741	0.000	0.000	74.903	75.420	0.000	1.500	74.875
54	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	76.375
55	2	0	1	0	0	31	0	0.693	0.000	0.000	77.653	78.170	0.000	1.500	77.625
56	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	79.125
57	2	0	0	0	0	30	0	0.820	0.000	0.000	79.770	80.287	0.000	1.500	79.750
58	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	81.250
59	2	0	1	0	0	31	0	0.717	0.000	0.000	82.653	83.170	0.000	1.500	82.625
60	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.375	84.125
61	2	1	1	2	600	31	0	0.879	0.000	0.000	87.520	88.037	0.606	1.500	87.500
62	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	89.000
63	2	0	0	0	0	30	0	0.777	0.000	0.000	89.520	90.037	0.000	1.500	89.500
64	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	91.000
65	2	0	1	0	0	31	0	0.794	0.000	0.000	91.903	92.420	0.000	1.500	91.875
66	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	93.375
67	2	0	1	0	0	31	0	0.602	0.000	0.000	94.520	95.037	0.000	1.500	94.500
68	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.500	96.000
69	2	0	1	0	0	31	0	0.747	0.000	0.000	98.520	99.037	0.000	1.500	98.500
70	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.875	100.000
71	2	1	1	2	550	31	0	0.733	0.000	0.000	102.903	103.420	0.557	1.500	102.875
72	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	104.375
73	2	1	0	1	550	30	0	0.468	0.000	0.000	105.153	105.670	-1.693	1.500	105.125
74	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	4.000	106.625
75	2	0	0	0	0	30	0	0.561	0.000	0.000	110.653	111.170	0.000	1.500	110.625
76	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	112.125
77	2	0	0	0	0	30	0	0.539	0.000	0.000	114.020	114.537	0.000	1.500	114.000
78	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	115.500
79	2	0	0	0	0	31	0	0.434	0.000	0.000	116.903	117.420	0.000	1.500	116.875
80	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	118.375
81	2	0	1	0	0	31	0	0.526	0.000	0.000	119.020	119.537	0.000	1.500	119.000
82	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	120.500
83	2	1	0	1	500	30	0	0.325	0.000	0.000	121.270	121.787	-15.561	1.500	121.250
84	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	122.750
85	2	0	1	0	0	31	0	0.435	0.000	0.000	124.020	124.537	0.000	1.500	124.000
86	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	125.500
87	2	0	0	0	0	0	0	0.000	0.000	0.000	126.403	126.920	0.000	1.500	126.375
88	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	127.875
89	2	0	1	0	0	0	0	0.000	0.000	0.000	128.520	129.037	0.000	1.500	128.500
90	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.625	130.000
91	2	0	0	0	0	0	0	0.000	0.000	0.000	132.653	133.170	0.000	1.500	132.625
92	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	134.125
93	2	1	1	2	500	0	0	0.000	0.000	0.000	135.770	136.287	0.000	1.500	135.750
94	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	137.250
95	2	0	0	0	0	0	0	0.000	0.000	0.000	138.653	139.170	0.000	1.500	138.625
96	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	140.125
97	2	1	0	2	550	0	0	0.000	0.000	0.000	141.903	142.420	0.000	1.500	141.875
98	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	143.375
99	2	0	0	0	0	0	0	0.000	0.000	0.000	144.153	144.670	0.000	1.500	144.125
100	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	145.625
101	2	0	1	0	0	0	0	0.000	0.000	0.000	146.770	147.287	0.000	1.500	146.750
102	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.250	148.250
103	2	0	0	0	0	0	0	0.000	0.000	0.000	150.520	151.037	0.000	1.500	150.500
104	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	152.000
105	2	0	1	0	0	0	0	0.000	0.000	0.000	152.653	153.170	0.000	1.500	152.625
106	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	154.125
Started: 17-Mar-2014 15:24
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	actualSSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	2	0	0	0	0	30	0	0.555	0.000	0.000	0.021	0.538	0.000	1.500	0.000
2	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	1.500
3	2	0	0	0	0	30	0	0.420	0.000	0.000	2.655	3.171	0.000	1.500	2.625
4	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	4.125
5	2	0	1	0	0	31	0	0.453	0.000	0.000	4.771	5.288	0.000	1.500	4.750
6	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	6.250
7	2	0	1	0	0	31	0	0.440	0.000	0.000	6.771	7.288	0.000	1.500	6.750
8	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	8.250
9	2	0	0	0	0	30	0	0.361	0.000	0.000	9.155	9.671	0.000	1.500	9.125
10	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	10.625
11	2	0	1	0	0	31	0	0.411	0.000	0.000	11.405	11.921	0.000	1.500	11.375
12	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	12.875
13	2	1	0	2	750	30	0	0.425	0.000	0.000	13.771	14.288	-171.699	1.500	13.750
14	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	15.250
15	2	1	1	1	750	31	0	0.467	0.000	0.000	16.405	16.921	-1.879	1.500	16.375
16	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	17.875
17	2	0	1	0	0	31	0	0.788	0.000	0.000	19.521	20.038	0.000	1.500	19.500
18	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	21.000
19	2	1	0	2	700	30	0	0.557	0.000	0.000	23.405	23.921	-6.244	1.500	23.375
20	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	24.875
21	2	1	1	1	700	0	0	0.000	0.000	0.000	26.271	26.788	0.000	1.500	26.250
22	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.500	27.750
23	2	0	0	0	0	30	0	0.882	0.000	0.000	31.271	31.788	0.000	1.500	31.250
24	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.750	32.750
25	2	0	1	0	0	31	0	0.938	0.000	0.000	33.521	34.038	0.000	1.500	33.500
26	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	35.000
27	2	0	0	0	0	30	0	0.876	0.000	0.000	37.405	37.921	0.000	1.500	37.375
28	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	38.875
29	2	0	1	0	0	31	0	0.824	0.000	0.000	40.155	40.671	0.000	1.500	40.125
30	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	41.625
31	2	0	0	0	0	30	0	0.771	0.000	0.000	42.905	43.421	0.000	1.500	42.875
32	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	44.375
33	2	0	0	0	0	30	0	0.765	0.000	0.000	45.405	45.921	0.000	1.500	45.375
34	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.875	46.875
35	2	1	0	2	650	0	0	0.000	0.000	0.000	49.771	50.288	0.000	1.500	49.750
36	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	51.250
37	2	0	1	0	0	31	0	0.717	0.000	0.000	52.405	52.921	0.000	1.500	52.375
38	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	53.875
39	2	0	0	0	0	30	0	0.838	0.000	0.000	54.521	55.038	0.000	1.500	54.500
40	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	56.000
41	2	0	0	0	0	30	0	0.883	0.000	0.000	56.655	57.171	0.000	1.500	56.625
42	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	58.125
43	2	0	1	0	0	31	0	0.970	0.000	0.000	59.405	59.921	0.000	1.500	59.375
44	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.625	60.875
45	2	1	1	1	750	0	0	0.000	0.000	0.000	62.521	63.038	0.000	1.500	62.500
46	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.125	64.000
47	2	0	1	0	0	0	0	0.000	0.000	0.000	67.155	67.671	0.000	1.500	67.125
48	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	68.625
49	2	0	1	0	0	31	0	0.910	0.000	0.000	69.655	70.171	0.000	1.500	69.625
50	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.750	71.125
51	2	1	0	1	800	30	0	0.877	0.000	0.000	72.905	73.421	0.807	1.500	72.875
52	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.500	74.375
53	2	0	0	0	0	0	0	0.000	0.000	0.000	74.905	75.421	0.000	1.500	74.875
54	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.250	76.375
55	2	0	1	0	0	0	0	0.000	0.000	0.000	77.655	78.171	0.000	1.500	77.625
56	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	79.125
57	2	0	0	0	0	0	0	0.000	0.000	0.000	79.771	80.288	0.000	1.500	79.750
58	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.375	81.250
59	2	0	1	0	0	0	0	0.000	0.000	0.000	82.655	83.171	0.000	1.500	82.625
60	2	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.375	84.125
61	2	1	1	2	700	0	0	0.000	0.000	0.000	87.521	88.038	0.000	1.500	87.500
