Started: 02-Jun-2014 16:46
TrialNumber	NumChunksNum	Trial	ArrowDirection	LadderNumber	LadderNum_SSD	SubjectResponse	LadderMovement	RT	SSD	actualSSD_plusCMDtime	absoluteTime	TimeStartBlock	DrewsActualSSD	TrialDuration_trialcode	TrialCourse_trialcode	
1	1	0	1	0	0	34	0	0.568	0.000	0.000	0.026	0.543	0.000	1.500	0.000
2	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.500
3	1	0	1	0	0	34	0	0.566	0.000	0.000	2.396	2.914	0.000	1.500	2.375
4	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.875	3.875
5	1	1	0	1	250	35	0	0.289	0.000	0.000	5.768	6.286	0.251	1.500	5.750
6	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.125	7.250
7	1	0	1	0	0	34	0	0.308	0.000	0.000	8.406	8.924	0.000	1.500	8.375
8	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	1.000	9.875
9	1	1	0	1	250	35	0	0.260	0.000	0.000	10.894	11.411	0.250	1.500	10.875
10	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	12.375
11	1	0	1	0	0	34	0	0.339	0.000	0.000	13.030	13.548	0.000	1.500	13.000
12	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.625	14.500
13	1	0	0	0	0	35	0	0.427	0.000	0.000	15.151	15.668	0.000	1.500	15.125
14	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	2.375	16.625
15	1	1	1	2	350	34	0	0.490	0.000	0.000	19.024	19.541	0.350	1.500	19.000
16	1	2	2	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	3.625	20.500
